Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-5-1, 68, 66, 8, Rain-Thunderstorm, 
2014-5-2, 60, 48, 8, , 
2014-5-3, 58, 60, 5, Rain, 
2014-5-4, 58, 52, 10, Rain, 
2014-5-5, 57, 36, 10, , 
2014-5-6, 57, 43, 6, , 
2014-5-7, 56, 47, 6, Rain, 
2014-5-8, 58, 84, 6, Rain-Thunderstorm, 
2014-5-9, 62, 91, 6, Fog-Rain, 
2014-5-10, 71, 75, 7, Fog-Rain-Thunderstorm, 
2014-5-11, 69, 61, 6, , 
2014-5-12, 69, 62, 4, , 
2014-5-13, 63, 67, 9, , 
2014-5-14, 60, 80, 7, , 
2014-5-15, 69, 81, 10, Fog, 
2014-5-16, 63, 91, 13, Rain, 
2014-5-17, 59, 64, 6, Rain, 
2014-5-18, 56, 57, 7, , 
2014-5-19, 57, 51, 7, , 
2014-5-20, 63, 51, 7, , 
2014-5-21, 66, 68, 4, , 
2014-5-22, 64, 89, 5, Fog-Thunderstorm, 
2014-5-23, 65, 73, 6, Rain-Thunderstorm, 
2014-5-24, 61, 78, 5, Rain-Thunderstorm, 
2014-5-25, 66, 61, 6, Fog, 
2014-5-26, 71, 50, 7, , 
2014-5-27, 74, 66, 6, , 
2014-5-28, 61, 88, 8, , 
2014-5-29, 57, 67, 6, , 
2014-5-30, 65, 64, 5, , 
2014-5-31, 64, 53, 8, , 
2014-6-1, 62, 60, 5, , 
2014-6-2, 65, 62, 6, , 
2014-6-3, 74, 71, 3, Rain-Thunderstorm, 
2014-6-4, 73, 64, 5, Rain, 
2014-6-5, 69, 68, 7, Rain, 
2014-6-6, 65, 61, 7, , 
2014-6-7, 68, 57, 4, , 
2014-6-8, 71, 65, 6, , 
2014-6-9, 70, 79, 5, Rain, 
2014-6-10, 75, 84, 6, Fog, 
2014-6-11, 65, 88, 9, Rain, 
2014-6-12, 67, 90, 7, Fog, 
2014-6-13, 77, 76, 5, Thunderstorm, 
2014-6-14, 66, 73, 9, , 
2014-6-15, 68, 59, 7, , 
2014-6-16, 72, 63, 5, , 
2014-6-17, 80, 64, 5, , 
2014-6-18, 84, 53, 9, , 
2014-6-19, 71, 79, 5, Rain-Thunderstorm, 
2014-6-20, 69, 60, 6, , 
2014-6-21, 71, 56, 7, , 
2014-6-22, 70, 70, 5, , 
2014-6-23, 72, 69, 6, , 
2014-6-24, 73, 61, 10, , 
2014-6-25, 78, 74, 8, Fog-Rain-Thunderstorm, 
2014-6-26, 76, 74, 7, Rain-Thunderstorm, 
2014-6-27, 74, 68, 6, , 
2014-6-28, 73, 62, 4, , 
2014-6-29, 74, 64, 6, , 
2014-6-30, 76, 70, 6, , 
2014-7-1, 80, 70, 10, , 
2014-7-2, 83, 73, 8, Rain-Thunderstorm, 
2014-7-3, 81, 76, 6, Rain-Thunderstorm, 
2014-7-4, 70, 69, 12, Rain, 
2014-7-5, 71, 45, 8, , 
2014-7-6, 71, 60, 7, , 
2014-7-7, 81, 60, 10, , 
2014-7-8, 81, 63, 9, Rain-Thunderstorm, 
2014-7-9, 79, 67, 6, , 
2014-7-10, 76, 66, 6, , 
2014-7-11, 76, 61, 6, , 
2014-7-12, 77, 64, 6, , 
2014-7-13, 80, 73, 10, Rain-Thunderstorm, 
2014-7-14, 79, 79, 5, Rain-Thunderstorm, 
2014-7-15, 81, 78, 6, Rain-Thunderstorm, 
2014-7-16, 74, 71, 7, , 
2014-7-17, 72, 60, 5, , 
2014-7-18, 71, 62, 4, , 
2014-7-19, 71, 66, 5, Rain, 
2014-7-20, 73, 69, 7, , 
2014-7-21, 73, 67, 4, , 
2014-7-22, 76, 72, 5, , 
2014-7-23, 79, 73, 7, Rain-Thunderstorm, 
2014-7-24, 74, 68, 7, Rain, 
2014-7-25, 71, 57, 6, , 
2014-7-26, 71, 77, 6, Rain, 
2014-7-27, 79, 72, 8, Rain-Thunderstorm, 
2014-7-28, 74, 73, 10, Rain-Thunderstorm, 
2014-7-29, 68, 61, 6, , 
2014-7-30, 70, 61, 4, , 
2014-7-31, 72, 64, 5, , 
2014-8-1, 74, 78, 5, Rain-Thunderstorm, 
2014-8-2, 70, 81, 6, Rain, 
2014-8-3, 70, 81, 4, Rain, 
2014-8-4, 76, 69, 4, , 
2014-8-5, 77, 65, 3, , 
2014-8-6, 74, 65, 5, , 
2014-8-7, 72, 57, 7, , 
2014-8-8, 70, 59, 6, , 
2014-8-9, 73, 58, 4, , 
2014-8-10, 74, 60, 4, , 
2014-8-11, 74, 65, 6, , 
2014-8-12, 73, 80, 9, Rain, 
2014-8-13, 75, 71, 8, Rain, 
2014-8-14, 69, 67, 6, Rain, 
2014-8-15, 65, 64, 6, , 
2014-8-16, 67, 66, 5, , 
2014-8-17, 72, 63, 5, , 
2014-8-18, 70, 63, 5, , 
2014-8-19, 72, 61, 6, , 
2014-8-20, 75, 66, 5, , 
2014-8-21, 76, 65, 8, Rain-Thunderstorm, 
2014-8-22, 71, 79, 6, Rain-Thunderstorm, 
2014-8-23, 68, 81, 7, Rain, 
2014-8-24, 71, 68, 6, , 
2014-8-25, 71, 68, 4, , 
2014-8-26, 74, 69, 5, , 
2014-8-27, 76, 67, 4, , 
2014-8-28, 70, 59, 9, , 
2014-8-29, 68, 58, 6, , 
2014-8-30, 67, 73, 6, , 
2014-8-31, 80, 74, 8, Rain, 
2014-9-1, 80, 78, 4, Rain-Thunderstorm, 
2014-9-2, 82, 72, 7, Fog, 
2014-9-3, 75, 61, 5, , 
2014-9-4, 74, 67, 6, , 
2014-9-5, 79, 81, 4, Fog-Rain, 
2014-9-6, 79, 73, 7, Rain-Thunderstorm, 
2014-9-7, 72, 66, 4, , 
2014-9-8, 69, 67, 9, , 
2014-9-9, 68, 73, 10, , 
2014-9-10, 71, 68, 5, , 
2014-9-11, 74, 74, 8, , 
2014-9-12, 67, 61, 8, , 
2014-9-13, 62, 80, 6, Rain, 
2014-9-14, 59, 69, 4, , 
2014-9-15, 59, 65, 5, , 
2014-9-16, 64, 70, 4, Rain, 
2014-9-17, 60, 64, 3, , 
2014-9-18, 62, 67, 3, , 
2014-9-19, 61, 67, 8, , 
2014-9-20, 65, 72, 7, , 
2014-9-21, 71, 79, 3, , 
2014-9-22, 61, 60, 8, , 
2014-9-23, 58, 59, 4, , 
2014-9-24, 61, 71, 9, , 
2014-9-25, 60, 86, 10, Rain, 
2014-9-26, 65, 64, 6, , 
2014-9-27, 70, 58, 4, , 
2014-9-28, 69, 65, 3, , 
2014-9-29, 69, 70, 3, Rain, 
2014-9-30, 69, 67, 5, , 
2014-10-1, 65, 79, 7, , 
2014-10-2, 64, 74, 5, , 
2014-10-3, 63, 75, 6, Rain, 
2014-10-4, 59, 72, 10, Rain, 
2014-10-5, 50, 61, 7, , 
2014-10-6, 55, 59, 9, , 
2014-10-7, 65, 71, 11, Rain, 
2014-10-8, 64, 61, 9, Rain, 
2014-10-9, 58, 56, 7, , 
2014-10-10, 53, 60, 3, Rain, 
2014-10-11, 51, 84, 6, Rain, 
2014-10-12, 53, 66, 4, , 
2014-10-13, 57, 82, 4, Rain, 
2014-10-14, 71, 79, 10, , 
2014-10-15, 73, 86, 11, Rain, 
2014-10-16, 64, 76, 8, Rain, 
2014-10-17, 64, 70, 7, , 
2014-10-18, 62, 70, 7, , 
2014-10-19, 47, 52, 9, , 
2014-10-20, 47, 64, 5, , 
2014-10-21, 60, 66, 3, , 
2014-10-22, 54, 88, 13, Rain, 
2014-10-23, 52, 76, 12, Rain, 
2014-10-24, 59, 58, 9, , 
2014-10-25, 54, 59, 6, , 
2014-10-26, 57, 48, 9, , 
2014-10-27, 55, 52, 5, , 
2014-10-28, 58, 67, 4, , 
2014-10-29, 59, 70, 5, Fog-Rain, 
2014-10-30, 49, 72, 6, Fog, 
2014-10-31, 43, 71, 6, , 
2014-11-1, 47, 75, 13, Rain, 
2014-11-2, 44, 55, 18, , 
2014-11-3, 49, 40, 9, , 
2014-11-4, 59, 36, 7, , 
2014-11-5, 57, 54, 4, Rain, 
2014-11-6, 50, 82, 4, Rain, 
2014-11-7, 45, 68, 11, , 
2014-11-8, 39, 58, 7, , 
2014-11-9, 46, 62, 4, , 
2014-11-10, 47, 64, 3, , 
2014-11-11, 54, 76, 5, Fog, 
2014-11-12, 55, 72, 6, Fog, 
2014-11-13, 40, 67, 4, Rain-Snow, 
2014-11-14, 36, 63, 8, Snow, 
2014-11-15, 36, 50, 6, , 
2014-11-16, 34, 66, 4, Rain, 
2014-11-17, 43, 81, 5, Fog-Rain, 
2014-11-18, 33, 45, 13, , 
2014-11-19, 26, 45, 9, , 
2014-11-20, 36, 51, 8, , 
2014-11-21, 30, 38, 9, , 
2014-11-22, 31, 50, 7, , 
2014-11-23, 46, 53, 6, , 
2014-11-24, 61, 76, 17, Rain, 
2014-11-25, 55, 54, 7, , 
2014-11-26, 40, 77, 9, Fog-Rain-Snow, 
2014-11-27, 33, 80, 6, Snow, 
2014-11-28, 30, 58, 7, , 
2014-11-29, 26, 69, 3, Rain, 
2014-11-30, 44, 63, 4, , 
2014-12-1, 53, 68, 7, Rain, 
2014-12-2, 40, 72, 9, Rain, 
2014-12-3, 42, 80, 8, Rain, 
2014-12-4, 37, 59, 5, , 
2014-12-5, 37, 72, 7, Rain, 
2014-12-6, 43, 93, 5, Rain, 
2014-12-7, 38, 57, 13, , 
2014-12-8, 29, 56, 12, , 
2014-12-9, 38, 86, 13, Rain, 
2014-12-10, 37, 69, 13, Snow, 
2014-12-11, 33, 73, 10, Snow, 
2014-12-12, 35, 66, 8, , 
2014-12-13, 38, 62, 9, , 
2014-12-14, 42, 64, 8, , 
2014-12-15, 40, 75, 4, , 
