Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-5-1, 46, 41, 9, , 
2014-5-2, 50, 34, 8, , 
2014-5-3, 58, 20, 7, , 
2014-5-4, 60, 17, 9, , 
2014-5-5, 61, 14, 7, , 
2014-5-6, 60, 13, 11, , 
2014-5-7, 56, 19, 11, , 
2014-5-8, 45, 44, 10, Rain, 
2014-5-9, 50, 34, 9, , 
2014-5-10, 60, 22, 9, , 
2014-5-11, 60, 22, 10, , 
2014-5-12, 45, 55, 10, Rain, 
2014-5-13, 40, 60, 9, , 
2014-5-14, 44, 37, 8, , 
2014-5-15, 50, 27, 5, , 
2014-5-16, 58, 22, 6, , 
2014-5-17, 64, 27, 12, , 
2014-5-18, 66, 19, 9, , 
2014-5-19, 60, 10, 8, , 
2014-5-20, 60, 10, 7, , 
2014-5-21, 61, 18, 8, , 
2014-5-22, 65, 45, 12, Rain-Thunderstorm, 
2014-5-23, 58, 75, 10, Rain-Thunderstorm, 
2014-5-24, 57, 71, 13, Rain-Thunderstorm, 
2014-5-25, 50, 72, 7, Rain, 
2014-5-26, 54, 76, 6, Fog-Rain, 
2014-5-27, 64, 44, 11, , 
2014-5-28, 70, 33, 9, , 
2014-5-29, 67, 43, 7, Rain, 
2014-5-30, 68, 47, 11, Rain, 
2014-5-31, 70, 32, 10, , 
2014-6-1, 70, 22, 9, , 
2014-6-2, 67, 18, 8, , 
2014-6-3, 77, 23, 15, , 
2014-6-4, 70, 16, 7, , 
2014-6-5, 70, 16, 7, , 
2014-6-6, 76, 28, 13, , 
2014-6-7, 68, 50, 17, Thunderstorm, 
2014-6-8, 66, 46, 12, Rain-Thunderstorm, 
2014-6-9, 64, 29, 8, , 
2014-6-10, 68, 23, 11, , 
2014-6-11, 72, 19, 9, , 
2014-6-12, 72, 27, 11, , 
2014-6-13, 70, 55, 13, Rain-Thunderstorm, 
2014-6-14, 67, 34, 9, , 
2014-6-15, 63, 13, 8, , 
2014-6-16, 74, 11, 9, , 
2014-6-17, 70, 24, 10, Rain-Thunderstorm, 
2014-6-18, 68, 29, 7, , 
2014-6-19, 65, 20, 6, , 
2014-6-20, 71, 28, 10, , 
2014-6-21, 74, 35, 9, , 
2014-6-22, 72, 30, 8, , 
2014-6-23, 72, 31, 11, , 
2014-6-24, 74, 30, 12, , 
2014-6-25, 76, 35, 11, , 
2014-6-26, 75, 27, 8, , 
2014-6-27, 76, 17, 9, , 
2014-6-28, 74, 17, 7, , 
2014-6-29, 76, 14, 8, , 
2014-6-30, 80, 15, 9, , 
2014-7-1, 73, 37, 13, Rain-Thunderstorm, 
2014-7-2, 70, 59, 10, Rain-Thunderstorm, 
2014-7-3, 70, 56, 11, Rain-Thunderstorm, 
2014-7-4, 68, 47, 6, , 
2014-7-5, 74, 47, 10, , 
2014-7-6, 74, 41, 8, Thunderstorm, 
2014-7-7, 74, 46, 6, Rain-Thunderstorm, 
2014-7-8, 72, 50, 10, Rain-Thunderstorm, 
2014-7-9, 70, 60, 14, Rain-Thunderstorm, 
2014-7-10, 74, 41, 6, , 
2014-7-11, 74, 47, 6, Rain-Thunderstorm, 
2014-7-12, 71, 46, 6, Thunderstorm, 
2014-7-13, 70, 54, 6, Rain-Thunderstorm, 
2014-7-14, 73, 58, 12, Rain-Thunderstorm, 
2014-7-15, 66, 74, 9, Rain-Thunderstorm, 
2014-7-16, 68, 70, 14, Rain-Thunderstorm, 
2014-7-17, 70, 56, 8, Rain-Thunderstorm, 
2014-7-18, 74, 56, 9, , 
2014-7-19, 76, 43, 9, , 
2014-7-20, 74, 42, 8, Rain-Thunderstorm, 
2014-7-21, 78, 38, 7, Rain, 
2014-7-22, 78, 41, 9, Rain-Thunderstorm, 
2014-7-23, 72, 59, 8, Rain-Thunderstorm, 
2014-7-24, 74, 40, 6, , 
2014-7-25, 77, 34, 5, Thunderstorm, 
2014-7-26, 80, 34, 9, , 
2014-7-27, 74, 62, 13, Rain-Thunderstorm, 
2014-7-28, 70, 66, 13, Rain, 
2014-7-29, 68, 75, 6, Rain-Thunderstorm, 
2014-7-30, 72, 60, 6, Rain-Thunderstorm, 
2014-7-31, 66, 77, 14, Rain-Thunderstorm, 
2014-8-1, 64, 72, 7, Rain-Thunderstorm, 
2014-8-2, 66, 67, 8, Rain, 
2014-8-3, 66, 55, 8, , 
2014-8-4, 68, 77, 9, Rain-Thunderstorm, 
2014-8-5, 68, 63, 6, , 
2014-8-6, 70, 54, 4, , 
2014-8-7, 68, 58, 5, Rain, 
2014-8-8, 67, 54, 6, , 
2014-8-9, 70, 45, 5, Rain-Thunderstorm, 
2014-8-10, 68, 48, 8, Rain-Thunderstorm, 
2014-8-11, 66, 54, 7, Thunderstorm, 
2014-8-12, 69, 52, 6, , 
2014-8-13, 71, 64, 8, Rain-Thunderstorm, 
2014-8-14, 70, 66, 7, Rain-Thunderstorm, 
2014-8-15, 68, 54, 7, Rain-Thunderstorm, 
2014-8-16, 72, 44, 7, , 
2014-8-17, 71, 37, 7, Thunderstorm, 
2014-8-18, 72, 37, 6, , 
2014-8-19, 70, 36, 6, , 
2014-8-20, 72, 47, 6, Rain, 
2014-8-21, 70, 32, 6, , 
2014-8-22, 62, 67, 6, Rain, 
2014-8-23, 63, 64, 5, Fog, 
2014-8-24, 66, 44, 5, , 
2014-8-25, 70, 39, 5, , 
2014-8-26, 66, 66, 6, Rain-Thunderstorm, 
2014-8-27, 64, 72, 6, Rain-Thunderstorm, 
2014-8-28, 62, 51, 5, , 
2014-8-29, 65, 44, 5, , 
2014-8-30, 68, 37, 5, , 
2014-8-31, 72, 30, 7, , 
2014-9-1, 70, 27, 7, , 
2014-9-2, 73, 23, 9, , 
2014-9-3, 72, 26, 5, , 
2014-9-4, 72, 41, 10, Rain-Thunderstorm, 
2014-9-5, 68, 56, 8, Thunderstorm, 
2014-9-6, 65, 64, 10, , 
2014-9-7, 66, 60, 7, , 
2014-9-8, 70, 55, 6, , 
2014-9-9, 72, 56, 9, , 
2014-9-10, 68, 41, 9, , 
2014-9-11, 68, 60, 7, , 
2014-9-12, 56, 65, 11, , 
2014-9-13, 59, 58, 9, , 
2014-9-14, 63, 56, 4, , 
2014-9-15, 68, 52, 8, Rain-Thunderstorm, 
2014-9-16, 66, 66, 6, , 
2014-9-17, 60, 70, 2, Rain, 
2014-9-18, 66, 52, 9, , 
2014-9-19, 69, 62, 6, , 
2014-9-20, 71, 55, 8, , 
2014-9-21, 68, 55, 14, Rain, 
2014-9-22, 68, 71, 10, Rain-Thunderstorm, 
2014-9-23, 70, 71, 4, , 
2014-9-24, 66, 48, 9, , 
2014-9-25, 66, 55, 7, , 
2014-9-26, 63, 57, 7, , 
2014-9-27, 64, 56, 6, , 
2014-9-28, 64, 60, 11, , 
2014-9-29, 58, 59, 12, Rain-Thunderstorm, 
2014-9-30, 56, 42, 11, , 
2014-10-1, 56, 40, 11, , 
2014-10-2, 52, 33, 10, , 
2014-10-3, 57, 26, 10, , 
2014-10-4, 58, 32, 7, , 
2014-10-5, 58, 28, 8, , 
2014-10-6, 63, 24, 8, , 
2014-10-7, 60, 23, 8, , 
2014-10-8, 59, 30, 8, Rain, 
2014-10-9, 58, 78, 7, Fog-Rain-Thunderstorm, 
2014-10-10, 51, 83, 6, Rain, 
2014-10-11, 56, 73, 7, Thunderstorm, 
2014-10-12, 52, 55, 11, Rain-Thunderstorm, 
2014-10-13, 48, 46, 9, , 
2014-10-14, 50, 43, 7, , 
2014-10-15, 54, 35, 8, , 
2014-10-16, 58, 32, 6, , 
2014-10-17, 57, 33, 8, , 
2014-10-18, 56, 57, 10, Rain, 
2014-10-19, 54, 60, 10, Rain-Thunderstorm, 
2014-10-20, 56, 62, 7, Rain, 
2014-10-21, 54, 74, 5, , 
2014-10-22, 58, 73, 4, Fog, 
2014-10-23, 56, 47, 7, , 
2014-10-24, 60, 36, 9, , 
2014-10-25, 60, 29, 9, , 
2014-10-26, 56, 44, 6, Thunderstorm, 
2014-10-27, 57, 37, 8, , 
2014-10-28, 51, 42, 7, , 
2014-10-29, 52, 25, 9, , 
2014-10-30, 54, 22, 9, , 
2014-10-31, 52, 37, 11, , 
2014-11-1, 52, 50, 7, , 
2014-11-2, 48, 81, 7, Rain-Thunderstorm, 
2014-11-3, 42, 66, 6, , 
2014-11-4, 40, 62, 3, , 
2014-11-5, 45, 47, 10, , 
2014-11-6, 46, 43, 8, Snow, 
2014-11-7, 47, 39, 7, , 
2014-11-8, 44, 46, 6, , 
2014-11-9, 48, 46, 9, , 
2014-11-10, 52, 37, 10, , 
2014-11-11, 43, 42, 10, , 
2014-11-12, 23, 59, 22, , 
2014-11-13, 23, 62, 13, , 
2014-11-14, 40, 55, 6, , 
2014-11-15, 44, 48, 10, Rain, 
2014-11-16, 32, 76, 14, Fog-Snow, 
2014-11-17, 24, 67, 5, , 
2014-11-18, 29, 53, 10, , 
2014-11-19, 34, 44, 7, , 
2014-11-20, 38, 36, 8, , 
2014-11-21, 38, 47, 7, , 
2014-11-22, 40, 46, 11, , 
2014-11-23, 36, 41, 10, Rain, 
2014-11-24, 26, 56, 7, Snow, 
2014-11-25, 26, 47, 7, , 
2014-11-26, 42, 40, 11, , 
2014-11-27, 44, 49, 10, , 
2014-11-28, 42, 40, 6, , 
2014-11-29, 44, 28, 7, , 
2014-11-30, 40, 34, 6, , 
2014-12-1, 39, 43, 6, , 
2014-12-2, 40, 42, 10, , 
2014-12-3, 40, 50, 6, , 
2014-12-4, 41, 91, 8, Rain, 
2014-12-5, 42, 79, 5, , 
2014-12-6, 42, 71, 6, Rain, 
2014-12-7, 44, 72, 5, Rain, 
2014-12-8, 42, 64, 11, , 
2014-12-9, 42, 61, 11, , 
2014-12-10, 42, 54, 13, , 
2014-12-11, 44, 54, 12, , 
2014-12-12, 44, 62, 11, , 
2014-12-13, 42, 71, 7, Rain-Snow, 
2014-12-14, 34, 78, 13, Fog-Snow, 
2014-12-15, 32, 59, 9, , 
2014-12-16, 32, 65, 8, , 
2014-12-17, 30, 91, 6, Fog-Snow, 
2014-12-18, 29, 78, 5, , 
2014-12-19, 30, 69, 10, , 
2014-12-20, 30, 66, 11, , 
2014-12-21, 38, 62, 13, , 
2014-12-22, 41, 72, 18, Fog-Snow, 
2014-12-23, 26, 56, 10, , 
2014-12-24, 25, 51, 7, , 
2014-12-25, 35, 59, 5, Snow, 
2014-12-26, 20, 82, 6, Fog-Snow, 
2014-12-27, 16, 68, 6, , 
2014-12-28, 23, 59, 11, , 
2014-12-29, 23, 55, 6, , 
2014-12-30, 16, 66, 20, Snow, 
2014-12-31, 16, 70, 9, Snow, 
2015-1-1, 20, 76, 8, Snow, 
2015-1-2, 23, 60, 15, , 
2015-1-3, 24, 57, 10, , 
2015-1-4, 30, 56, 6, , 
2015-1-5, 34, 48, 8, , 
2015-1-6, 41, 49, 10, , 
2015-1-7, 32, 74, 12, , 
2015-1-8, 32, 77, 8, , 
2015-1-9, 28, 77, 11, , 
2015-1-10, 36, 72, 11, , 
2015-1-11, 36, 74, 7, Snow, 
2015-1-12, 32, 78, 9, Snow, 
2015-1-13, 30, 86, 10, Fog-Snow, 
2015-1-14, 29, 85, 6, Snow, 
2015-1-15, 34, 75, 9, , 
2015-1-16, 34, 65, 10, , 
2015-1-17, 39, 50, 10, , 
2015-1-18, 34, 55, 6, , 
2015-1-19, 41, 50, 9, , 
2015-1-20, 40, 52, 7, , 
2015-1-21, 32, 84, 12, Fog-Snow, 
2015-1-22, 21, 73, 6, Snow, 
2015-1-23, 24, 68, 10, , 
2015-1-24, 31, 62, 11, , 
2015-1-25, 38, 54, 7, , 
2015-1-26, 43, 54, 10, , 
2015-1-27, 44, 56, 13, , 
2015-1-28, 46, 58, 7, , 
2015-1-29, 42, 49, 10, , 
2015-1-30, 32, 85, 11, Fog-Snow, 
2015-1-31, 31, 90, 6, Fog-Snow, 
2015-2-1, 32, 87, 5, Fog, 
2015-2-2, 36, 64, 6, , 
2015-2-3, 40, 61, 10, , 
2015-2-4, 42, 59, 6, , 
2015-2-5, 40, 59, 5, , 
2015-2-6, 46, 43, 11, , 
2015-2-7, 47, 37, 7, , 
2015-2-8, 48, 38, 9, , 
2015-2-9, 48, 47, 11, , 
2015-2-10, 48, 43, 9, , 
2015-2-11, 39, 70, 8, Rain, 
2015-2-12, 38, 76, 4, Fog, 
2015-2-13, 44, 50, 7, , 
2015-2-14, 46, 40, 8, , 
2015-2-15, 48, 42, 7, , 
2015-2-16, 35, 63, 12, Snow, 
2015-2-17, 34, 61, 7, Snow, 
2015-2-18, 41, 30, 8, , 
2015-2-19, 43, 33, 9, , 
2015-2-20, 46, 29, 7, , 
2015-2-21, 38, 39, 7, , 
2015-2-22, 26, 65, 16, Snow, 
2015-2-23, 18, 66, 14, Snow, 
2015-2-24, 28, 76, 9, Snow, 
2015-2-25, 34, 72, 8, , 
2015-2-26, 24, 76, 16, Snow, 
2015-2-27, 17, 77, 18, Fog-Snow, 
2015-2-28, 24, 82, 10, Fog-Rain-Snow, 
2015-3-1, 44, 74, 5, Rain, 
2015-3-2, 40, 71, 16, Rain-Thunderstorm, 
2015-3-3, 39, 61, 6, , 
2015-3-4, 32, 64, 7, , 
2015-3-5, 30, 52, 8, , 
2015-3-6, 40, 40, 9, , 
2015-3-7, 44, 35, 11, , 
2015-3-8, 46, 39, 9, , 
2015-3-9, 42, 51, 6, , 
2015-3-10, 44, 43, 7, , 
2015-3-11, 48, 33, 7, , 
2015-3-12, 47, 34, 4, , 
2015-3-13, 48, 41, 10, Rain, 
2015-3-14, 47, 44, 8, , 
2015-3-15, 47, 33, 5, , 
2015-3-16, 50, 28, 6, , 
2015-3-17, 46, 49, 8, , 
2015-3-18, 51, 64, 8, Rain, 
2015-3-19, 47, 84, 6, Fog-Rain, 
2015-3-20, 43, 83, 5, Rain, 
2015-3-21, 48, 68, 8, , 
2015-3-22, 50, 45, 6, , 
2015-3-23, 50, 34, 7, , 
2015-3-24, 52, 26, 10, , 
2015-3-25, 48, 37, 10, , 
2015-3-26, 42, 42, 6, , 
2015-3-27, 53, 28, 7, , 
2015-3-28, 56, 25, 8, , 
2015-3-29, 54, 24, 6, , 
2015-3-30, 58, 26, 7, , 
2015-3-31, 56, 28, 9, , 
2015-4-1, 55, 28, 7, , 
2015-4-2, 56, 21, 10, , 
2015-4-3, 48, 23, 8, , 
2015-4-4, 48, 47, 11, , 
2015-4-5, 54, 33, 6, , 
2015-4-6, 50, 18, 7, , 
2015-4-7, 50, 16, 7, , 
2015-4-8, 58, 15, 11, , 
2015-4-9, 47, 16, 9, , 
2015-4-10, 49, 34, 16, , 
2015-4-11, 52, 35, 8, , 
2015-4-12, 52, 21, 7, , 
2015-4-13, 56, 23, 8, , 
2015-4-14, 50, 33, 8, , 
2015-4-15, 54, 35, 8, , 
2015-4-16, 40, 20, 9, , 
2015-4-17, 35, 36, 7, Rain, 
2015-4-18, 42, 80, 8, Snow, 
2015-4-19, 49, 43, 10, , 
2015-4-20, 51, 36, 13, Rain-Thunderstorm, 
2015-4-21, 54, 29, 8, , 
2015-4-22, 58, 30, 12, , 
2015-4-23, 54, 26, 8, , 
2015-4-24, 50, 47, 11, Rain, 
2015-4-25, 50, 44, 6, , 
2015-4-26, 42, 73, 9, Rain-Snow, 
2015-4-27, 47, 71, 9, Rain, 
2015-4-28, 45, 51, 4, , 
2015-4-29, 53, 39, 7, , 
2015-4-30, 60, 24, 5, , 
2015-5-1, 62, 28, 7, , 
2015-5-2, 64, 28, 8, Thunderstorm, 
2015-5-3, 59, 43, 8, Thunderstorm, 
2015-5-4, 60, 56, 10, Rain-Thunderstorm, 
2015-5-5, 48, 85, 3, , 
