Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-1-1, 36, 46, 11, , 
2014-1-2, 33, 63, 4, , 
2014-1-3, 38, 63, 17, Snow, 
2014-1-4, 16, 84, 7, Snow, 
2014-1-5, 1, 62, 7, Snow, 
2014-1-6, 7, 70, 1, , 
2014-1-7, 22, 75, 1, , 
2014-1-8, 33, 78, 2, , 
2014-1-9, 34, 63, 7, Snow, 
2014-1-10, 35, 64, 12, , 
2014-1-11, 44, 54, 12, Rain-Snow, 
2014-1-12, 36, 58, 16, , 
2014-1-13, 39, 68, 18, Snow, 
2014-1-14, 32, 71, 8, Fog-Snow, 
2014-1-15, 45, 37, 16, , 
2014-1-16, 39, 48, 10, , 
2014-1-17, 36, 56, 3, , 
2014-1-18, 35, 63, 2, , 
2014-1-19, 37, 54, 4, , 
2014-1-20, 33, 57, 4, , 
2014-1-21, 34, 61, 3, , 
2014-1-22, 30, 74, 3, Fog-Snow, 
2014-1-23, 25, 79, 2, Fog, 
2014-1-24, 25, 76, 1, Fog, 
2014-1-25, 31, 71, 2, , 
2014-1-26, 31, 68, 7, Snow, 
2014-1-27, 19, 59, 2, , 
2014-1-28, 18, 63, 2, , 
2014-1-29, 33, 75, 6, Snow, 
2014-1-30, 18, 69, 7, Snow, 
2014-1-31, 14, 75, 4, Snow, 
2014-2-1, 14, 66, 4, , 
2014-2-2, 12, 74, 3, , 
2014-2-3, 9, 73, 10, Snow, 
2014-2-4, -4, 60, 9, Snow, 
2014-2-5, -11, 56, 7, Snow, 
2014-2-6, -15, 67, 1, , 
2014-2-7, -6, 69, 1, Snow, 
2014-2-8, 5, 68, 7, Snow, 
2014-2-9, 8, 74, 3, Snow, 
2014-2-10, 14, 72, 1, Snow, 
2014-2-11, 22, 61, 9, Snow, 
2014-2-12, 35, 0, 0, , 
2014-2-13, 37, 61, 15, Rain-Snow, 
2014-2-14, 35, 58, 9, , 
2014-2-15, 37, 60, 7, , 
2014-2-16, 40, 59, 14, Rain-Snow, 
2014-2-17, 40, 44, 14, Snow, 
2014-2-18, 40, 42, 11, , 
2014-2-19, 35, 51, 17, Snow, 
2014-2-20, 32, 64, 10, Snow, 
2014-2-21, 26, 77, 10, Fog-Snow, 
2014-2-22, 18, 74, 4, Snow, 
