Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-1-1, 3, 79, 6, Snow, 
2014-1-2, 4, 76, 10, Snow, 
2014-1-3, 26, 78, 11, Rain, 
2014-1-4, 11, 73, 14, , 
2014-1-5, -4, 60, 24, , 
2014-1-6, -5, 67, 14, , 
2014-1-7, 9, 73, 5, , 
2014-1-8, 15, 79, 13, Snow, 
2014-1-9, 27, 81, 9, , 
2014-1-10, 27, 80, 8, , 
2014-1-11, 31, 73, 13, , 
2014-1-12, 39, 71, 13, , 
2014-1-13, 34, 75, 15, , 
2014-1-14, 29, 57, 20, , 
2014-1-15, 33, 69, 13, , 
2014-1-16, 28, 60, 30, , 
2014-1-17, 28, 68, 10, , 
2014-1-18, 35, 73, 20, Snow, 
2014-1-19, 42, 55, 16, , 
2014-1-20, 20, 69, 19, Snow, 
2014-1-21, 19, 73, 14, , 
2014-1-22, 13, 66, 16, Snow, 
2014-1-23, 9, 57, 8, , 
2014-1-24, 37, 60, 20, Rain, 
2014-1-25, 39, 71, 14, Rain, 
2014-1-26, 23, 58, 26, Snow, 
2014-1-27, 2, 59, 11, , 
2014-1-28, 6, 63, 7, , 
2014-1-29, 25, 57, 8, , 
2014-1-30, 14, 78, 13, Snow, 
2014-1-31, 18, 69, 9, , 
2014-2-1, 13, 67, 15, Snow, 
2014-2-2, 16, 58, 8, , 
2014-2-3, 12, 72, 7, Fog-Snow, 
2014-2-4, 3, 77, 9, Snow, 
2014-2-5, -3, 70, 14, , 
2014-2-6, -3, 68, 14, , 
2014-2-7, -3, 67, 6, , 
2014-2-8, 6, 77, 7, Snow, 
2014-2-9, -2, 73, 8, , 
2014-2-10, -1, 80, 8, , 
2014-2-11, 18, 80, 10, Snow, 
2014-2-12, 20, 80, 13, Snow, 
2014-2-13, 27, 68, 13, Snow, 
2014-2-14, 18, 75, 8, , 
2014-2-15, 30, 74, 15, , 
2014-2-16, 26, 80, 17, Snow, 
2014-2-17, 40, 61, 14, Snow, 
2014-2-18, 39, 64, 14, , 
2014-2-19, 41, 62, 11, , 
2014-2-20, 26, 70, 18, Snow, 
