Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-11-27,3,10,3,1
2014-11-28,3,10,1,1
2014-11-29,3,8,1,0
2014-11-30,3,10,1,1
2014-12-1,5,9,2,1
2014-12-2,3,6,2,1
2014-12-3,3,10,2,1
2014-12-4,3,5,2,0
2014-12-5,2,7,1,1
2014-12-6,3,10,2,1
2014-12-7,3,8,3,0
2014-12-8,1,8,2,0
2014-12-9,3,10,3,1
2014-12-10,4,10,4,1
2014-12-11,4,10,1,1
2014-12-12,4,10,1,1
2014-12-13,4,10,2,1
2014-12-14,4,10,1,0
2014-12-15,3,10,1,0
2014-12-16,4,10,1,1
2014-12-17,4,10,2,1
2014-12-18,4,10,2,1
2014-12-19,3,9,2,0
2014-12-20,3,10,2,0
2014-12-21,3,10,1,0
2014-12-22,4,10,1,1
2014-12-23,4,10,1,1
2014-12-24,4,10,2,1
2014-12-25,5,10,2,1
2014-12-26,5,6,2,0
2014-12-27,4,7,1,0
2014-12-28,4,10,2,1
2014-12-29,3,3,2,0
2014-12-30,2,5,2,0
2014-12-31,2,6,1,0
2015-1-1,2,6,2,0
2015-1-2,3,4,2,1
2015-1-3,2,8,1,1
2015-1-4,3,10,2,1
2015-1-5,2,8,3,1
2015-1-6,1,7,1,0
2015-1-7,1,10,2,1
2015-1-8,1,6,2,0
2015-1-9,2,8,2,1
2015-1-10,2,8,1,0
2015-1-11,2,8,1,0
2015-1-12,3,10,1,1
2015-1-13,2,7,3,0
2015-1-14,1,8,1,0
2015-1-15,2,10,2,1
2015-1-16,2,9,2,1
2015-1-17,1,4,1,0
2015-1-18,3,10,1,1
2015-1-19,4,10,2,1
2015-1-20,3,5,2,0
2015-1-21,2,6,1,0
2015-1-22,3,8,1,0
2015-1-23,3,7,1,0
2015-1-24,3,10,1,1
2015-1-25,2,7,3,1
2015-1-26,1,7,2,0
2015-1-27,1,9,5,1
2015-1-28,2,9,3,1
2015-1-29,2,6,1,0
2015-1-30,3,10,2,1
2015-1-31,2,9,3,1
2015-2-1,1,6,2,0
2015-2-2,1,9,3,1
2015-2-3,1,8,2,1
2015-2-4,2,10,1,1
2015-2-5,2,9,2,1
2015-2-6,1,7,1,0
2015-2-7,2,8,1,1
2015-2-8,1,10,3,1
2015-2-9,1,10,3,1
2015-2-10,2,9,2,1
2015-2-11,2,7,2,0
2015-2-12,1,9,1,1
2015-2-13,1,7,2,0
2015-2-14,1,8,1,1
2015-2-15,1,8,4,1
2015-2-16,1,3,3,0
2015-2-17,1,5,1,0
2015-2-18,2,5,1,0
2015-2-19,2,10,2,1
2015-2-20,1,6,3,1
2015-2-21,2,9,2,1
2015-2-22,3,10,1,1
2015-2-23,1,8,3,1
2015-2-24,1,7,1,0
2015-2-25,3,8,2,1
2015-2-26,2,5,2,0
2015-2-27,2,4,1,0
2015-2-28,2,6,1,0
2015-3-1,2,8,1,1
2015-3-2,3,9,2,1
2015-3-3,2,7,2,1
2015-3-4,4,9,1,1
2015-3-5,3,3,3,0
2015-3-6,2,4,1,0
2015-3-7,3,5,1,0
2015-3-8,3,7,1,0
2015-3-9,3,7,2,0
2015-3-10,4,7,2,0
2015-3-11,5,9,2,1
2015-3-12,3,6,3,0
2015-3-13,3,3,1,0
2015-3-14,4,10,1,1
2015-3-15,3,10,4,1
2015-3-16,3,4,2,0
2015-3-17,3,7,2,1
2015-3-18,2,3,4,0
2015-3-19,2,3,3,0
2015-3-20,3,4,1,0
2015-3-21,3,10,1,1
2015-3-22,3,7,4,1
2015-3-23,2,5,3,0
2015-3-24,3,6,1,0
2015-3-25,4,7,1,1
2015-3-26,4,10,1,1
2015-3-27,4,10,1,1
2015-3-28,4,6,3,1
2015-3-29,3,5,1,0
2015-3-30,3,10,2,1
2015-3-31,4,6,2,0
2015-4-1,3,3,2,0
2015-4-2,4,5,1,0
2015-4-3,5,7,1,1
2015-4-4,4,9,3,1
2015-4-5,3,6,2,1
2015-4-6,3,9,1,1
2015-4-7,4,10,1,1
2015-4-8,4,7,1,1
2015-4-9,4,10,1,1
2015-4-10,4,10,1,1
2015-4-11,5,10,2,1
2015-4-12,5,4,2,0
2015-4-13,6,5,2,0
2015-4-14,6,6,2,1
2015-4-15,5,2,2,0
2015-4-16,5,3,1,0
2015-4-17,6,6,2,1
2015-4-18,5,9,1,1
2015-4-19,5,7,1,0
2015-4-20,4,10,2,1
2015-4-21,5,10,2,1
2015-4-22,5,9,2,1
2015-4-23,5,9,2,1
2015-4-24,4,7,2,0
2015-4-25,5,7,2,1
2015-4-26,5,9,1,1
2015-4-27,5,10,3,1
2015-4-28,5,7,4,1
2015-4-29,5,7,2,1
2015-4-30,5,8,2,0
2015-5-1,5,8,2,0
2015-5-2,6,9,1,0
2015-5-3,6,9,1,1
2015-5-4,7,8,2,0
2015-5-5,7,5,2,0
