Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-5-1,7,9,2,1
2014-5-2,6,5,2,0
2014-5-3,6,7,1,1
2014-5-4,6,6,2,1
2014-5-5,6,3,2,0
2014-5-6,6,4,1,0
2014-5-7,6,5,1,1
2014-5-8,6,10,1,1
2014-5-9,7,10,1,1
2014-5-10,8,10,2,1
2014-5-11,7,8,1,0
2014-5-12,7,8,1,0
2014-5-13,7,9,2,0
2014-5-14,6,10,2,0
2014-5-15,7,10,2,1
2014-5-16,7,10,3,1
2014-5-17,6,8,1,1
2014-5-18,6,7,2,0
2014-5-19,6,6,2,0
2014-5-20,7,6,2,0
2014-5-21,7,9,1,0
2014-5-22,7,10,1,1
2014-5-23,7,10,1,1
2014-5-24,7,10,1,1
2014-5-25,7,8,1,1
2014-5-26,8,5,2,0
2014-5-27,8,9,1,0
2014-5-28,7,10,2,0
2014-5-29,6,9,1,0
2014-5-30,7,8,1,0
2014-5-31,7,6,2,0
2014-6-1,7,7,1,0
2014-6-2,7,8,1,0
2014-6-3,8,10,1,1
2014-6-4,8,8,1,1
2014-6-5,7,9,2,1
2014-6-6,7,8,2,0
2014-6-7,7,7,1,0
2014-6-8,8,8,1,0
2014-6-9,7,10,1,1
2014-6-10,8,10,1,1
2014-6-11,7,10,2,1
2014-6-12,7,10,2,1
2014-6-13,8,10,1,1
2014-6-14,7,10,2,0
2014-6-15,7,7,2,0
2014-6-16,8,8,1,0
2014-6-17,8,8,1,0
2014-6-18,9,6,2,0
2014-6-19,8,10,1,1
2014-6-20,7,7,1,0
2014-6-21,8,7,2,0
2014-6-22,7,9,1,0
2014-6-23,8,9,1,0
2014-6-24,8,8,2,0
2014-6-25,8,10,2,1
2014-6-26,8,10,2,1
2014-6-27,8,9,1,0
2014-6-28,8,8,1,0
2014-6-29,8,8,1,0
2014-6-30,8,9,1,0
2014-7-1,8,9,2,0
2014-7-2,9,10,2,1
2014-7-3,9,10,1,1
2014-7-4,7,9,3,1
2014-7-5,8,4,2,0
2014-7-6,8,7,2,0
2014-7-7,9,7,2,0
2014-7-8,9,8,2,1
2014-7-9,8,9,1,0
2014-7-10,8,9,1,0
2014-7-11,8,8,1,0
2014-7-12,8,8,1,0
2014-7-13,8,10,2,1
2014-7-14,8,10,1,1
2014-7-15,9,10,1,1
2014-7-16,8,10,2,0
2014-7-17,8,7,1,0
2014-7-18,8,8,1,0
2014-7-19,8,9,1,1
2014-7-20,8,9,2,0
2014-7-21,8,9,1,0
2014-7-22,8,10,1,0
2014-7-23,8,10,2,1
2014-7-24,8,9,2,1
2014-7-25,8,7,1,0
2014-7-26,8,10,1,1
2014-7-27,8,10,2,1
2014-7-28,8,10,2,1
2014-7-29,7,8,1,0
2014-7-30,7,8,1,0
2014-7-31,8,8,1,0
2014-8-1,8,10,1,1
2014-8-2,7,10,1,1
2014-8-3,7,10,1,1
2014-8-4,8,9,1,0
2014-8-5,8,8,1,0
2014-8-6,8,8,1,0
2014-8-7,8,7,2,0
2014-8-8,7,7,1,0
2014-8-9,8,7,1,0
2014-8-10,8,7,1,0
2014-8-11,8,8,1,0
2014-8-12,8,10,2,1
2014-8-13,8,10,2,1
2014-8-14,7,9,1,1
2014-8-15,7,8,1,0
2014-8-16,7,9,1,0
2014-8-17,8,8,1,0
2014-8-18,7,8,1,0
2014-8-19,8,8,1,0
2014-8-20,8,9,1,0
2014-8-21,8,8,2,1
2014-8-22,8,10,1,1
2014-8-23,7,10,2,1
2014-8-24,8,9,1,0
2014-8-25,8,9,1,0
2014-8-26,8,9,1,0
2014-8-27,8,9,1,0
2014-8-28,7,7,2,0
2014-8-29,7,7,1,0
2014-8-30,7,10,1,0
2014-8-31,8,10,2,1
2014-9-1,8,10,1,1
2014-9-2,9,10,2,1
2014-9-3,8,8,1,0
2014-9-4,8,9,1,0
2014-9-5,8,10,1,1
2014-9-6,8,10,2,1
2014-9-7,8,9,1,0
2014-9-8,7,9,2,0
