Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-5-1,8,7,2,0
2014-5-2,8,10,1,1
2014-5-3,8,10,1,0
2014-5-4,8,9,1,0
2014-5-5,8,8,1,1
2014-5-6,8,9,1,0
2014-5-7,8,9,1,1
2014-5-8,8,10,1,1
2014-5-9,8,10,1,0
2014-5-10,8,10,1,1
2014-5-11,8,10,1,1
2014-5-12,8,10,2,1
2014-5-13,8,8,3,0
2014-5-14,8,8,2,0
2014-5-15,8,9,1,0
2014-5-16,9,7,2,0
2014-5-17,8,8,1,0
2014-5-18,8,10,1,1
2014-5-19,8,9,1,0
2014-5-20,8,9,1,1
2014-5-21,8,9,2,0
2014-5-22,8,10,1,0
2014-5-23,9,10,1,0
2014-5-24,8,10,1,1
2014-5-25,8,10,1,1
2014-5-26,8,10,2,1
2014-5-27,8,8,3,0
2014-5-28,8,7,2,1
2014-5-29,8,8,2,0
2014-5-30,9,7,3,0
2014-5-31,9,7,3,0
2014-6-1,9,8,2,0
2014-6-2,8,10,2,0
2014-6-3,8,8,2,0
2014-6-4,9,7,3,0
2014-6-5,9,7,3,0
2014-6-6,8,9,2,1
2014-6-7,9,7,3,0
2014-6-8,8,8,3,1
2014-6-9,8,8,3,1
2014-6-10,8,8,2,0
2014-6-11,9,7,3,0
2014-6-12,9,6,3,0
2014-6-13,9,7,3,0
2014-6-14,9,7,3,0
2014-6-15,9,7,3,0
2014-6-16,8,7,2,1
2014-6-17,8,9,2,1
2014-6-18,9,7,2,1
2014-6-19,9,6,2,0
2014-6-20,8,9,2,1
2014-6-21,8,8,2,0
2014-6-22,8,8,2,0
2014-6-23,8,9,2,1
2014-6-24,9,8,2,1
2014-6-25,9,9,2,1
2014-6-26,8,8,2,1
2014-6-27,9,9,2,1
2014-6-28,8,10,1,1
2014-6-29,9,10,2,1
2014-6-30,9,8,2,0
2014-7-1,9,7,2,0
2014-7-2,9,8,2,1
2014-7-3,9,9,2,1
2014-7-4,9,7,2,0
2014-7-5,9,9,2,1
2014-7-6,9,8,2,1
2014-7-7,9,8,2,1
2014-7-8,9,7,3,0
2014-7-9,9,8,3,1
2014-7-10,9,7,3,1
2014-7-11,9,8,3,0
2014-7-12,9,7,3,1
2014-7-13,9,8,2,0
2014-7-14,9,9,2,0
2014-7-15,9,7,2,0
2014-7-16,9,8,3,1
2014-7-17,9,8,3,1
2014-7-18,9,7,3,1
2014-7-19,9,6,3,1
2014-7-20,8,10,3,1
2014-7-21,9,10,1,0
2014-7-22,9,9,1,0
2014-7-23,9,7,3,1
2014-7-24,9,7,3,1
2014-7-25,9,7,2,0
2014-7-26,9,8,2,1
2014-7-27,9,9,2,0
2014-7-28,9,8,3,0
2014-7-29,9,7,2,0
2014-7-30,9,7,2,0
2014-7-31,9,6,2,0
2014-8-1,9,7,3,0
2014-8-2,9,8,3,0
2014-8-3,9,7,3,0
2014-8-4,9,8,3,0
2014-8-5,9,6,3,0
2014-8-6,9,8,3,0
2014-8-7,9,8,3,1
2014-8-8,9,10,4,1
2014-8-9,9,10,2,1
2014-8-10,9,9,1,0
2014-8-11,8,8,1,0
2014-8-12,9,9,1,1
2014-8-13,9,9,2,1
2014-8-14,9,7,2,0
2014-8-15,9,7,2,0
2014-8-16,9,7,3,0
2014-8-17,9,7,2,1
2014-8-18,9,7,2,0
2014-8-19,9,8,2,0
2014-8-20,9,7,2,0
2014-8-21,9,9,2,1
2014-8-22,9,8,3,1
2014-8-23,9,7,2,0
2014-8-24,9,9,1,1
2014-8-25,9,9,2,1
2014-8-26,9,9,2,1
2014-8-27,9,7,2,0
2014-8-28,9,7,2,0
2014-8-29,9,7,1,0
2014-8-30,9,7,2,0
2014-8-31,9,8,2,0
2014-9-1,9,10,1,0
2014-9-2,9,8,2,0
2014-9-3,9,7,2,0
2014-9-4,9,8,2,0
2014-9-5,9,8,2,1
2014-9-6,9,9,2,0
2014-9-7,9,6,2,0
2014-9-8,9,7,2,0
2014-9-9,9,7,2,0
2014-9-10,9,8,2,1
2014-9-11,9,7,2,0
2014-9-12,9,8,2,0
2014-9-13,9,9,1,0
2014-9-14,8,9,1,1
2014-9-15,9,10,1,0
2014-9-16,9,8,2,0
2014-9-17,9,8,1,1
2014-9-18,9,10,1,1
2014-9-19,9,10,1,0
2014-9-20,9,10,1,1
2014-9-21,9,9,1,0
2014-9-22,9,7,2,0
2014-9-23,9,6,3,0
2014-9-24,9,8,2,1
2014-9-25,9,9,2,1
2014-9-26,9,9,2,1
2014-9-27,9,9,2,1
2014-9-28,9,10,2,1
2014-9-29,9,8,1,1
2014-9-30,9,10,1,1
2014-10-1,9,10,1,1
2014-10-2,9,8,2,0
2014-10-3,9,7,2,0
2014-10-4,9,9,2,1
2014-10-5,9,10,1,1
2014-10-6,9,9,1,1
2014-10-7,9,10,1,1
2014-10-8,9,9,1,0
2014-10-9,9,9,2,1
2014-10-10,9,8,3,1
2014-10-11,9,7,3,0
2014-10-12,9,7,3,0
2014-10-13,9,8,2,1
2014-10-14,9,8,2,1
2014-10-15,9,8,2,0
2014-10-16,9,8,2,0
2014-10-17,9,9,2,1
2014-10-18,9,10,2,1
2014-10-19,8,10,1,1
2014-10-20,9,9,2,0
2014-10-21,9,10,1,0
2014-10-22,8,10,1,1
2014-10-23,9,10,2,1
2014-10-24,9,10,2,0
2014-10-25,8,10,2,0
2014-10-26,9,9,2,1
2014-10-27,8,10,2,0
