
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,25,10,-5,15,3,-15,82,66,55,30.30,30.22,30.12,10,10,10,13,6,,0.00,2,,317<br />
2015-1-2,32,26,21,21,18,13,90,77,55,30.13,29.97,29.84,10,10,10,18,6,,0.00,4,Snow,275<br />
2015-1-3,29,12,-4,22,6,-9,92,82,64,30.38,29.96,29.75,10,5,0,28,15,38,0.00,5,Rain-Snow,5<br />
2015-1-4,32,14,-4,20,6,-9,92,74,50,30.42,30.27,30.05,10,8,2,24,12,32,0.00,3,Snow,246<br />
2015-1-5,45,28,10,30,25,6,100,75,53,30.30,30.12,29.91,10,7,0,50,17,70,0.00,3,Fog-Rain-Snow,320<br />
2015-1-6,48,32,17,31,26,16,100,76,49,30.55,30.32,30.17,10,6,0,22,15,30,0.00,2,Fog-Rain-Snow,336<br />
2015-1-7,43,26,9,28,13,8,100,91,38,30.87,30.51,30.08,10,4,0,25,11,31,0.01,6,Snow,267<br />
2015-1-8,47,30,11,30,18,6,89,72,34,30.42,30.19,29.93,10,9,3,21,15,34,0.00,5,Snow,1<br />
2015-1-9,27,18,10,21,15,6,100,92,78,30.48,30.22,30.04,10,4,1,16,7,21,0.00,6,Fog-Snow,211<br />
2015-1-10,46,37,28,26,24,21,78,55,45,30.01,29.92,29.81,10,10,10,31,15,39,0.00,4,,269<br />
2015-1-11,38,30,22,30,27,21,100,88,70,30.28,30.08,29.83,10,8,2,13,8,20,0.01,7,Snow,57<br />
2015-1-12,21,19,17,21,18,16,100,95,93,30.43,30.26,30.09,10,2,0,15,10,20,0.00,8,Fog-Rain-Snow,191<br />
2015-1-13,32,22,11,29,19,10,100,90,72,30.41,30.21,30.05,10,7,1,23,10,30,0.01,5,Fog-Snow,310<br />
2015-1-14,42,29,16,28,18,11,100,72,30,30.33,30.22,30.10,10,8,1,16,8,22,0.00,1,,274<br />
2015-1-15,52,38,23,18,12,6,68,38,19,30.31,30.20,30.02,10,10,10,21,10,30,0.00,0,,285<br />
2015-1-16,50,43,35,25,9,4,67,27,16,30.05,29.89,29.73,10,10,10,37,14,46,0.00,4,,270<br />
2015-1-17,45,38,30,21,9,-3,64,35,18,30.14,30.05,29.86,10,10,10,33,22,47,0.00,1,,293<br />
2015-1-18,52,44,35,25,16,-6,46,33,13,30.00,29.92,29.86,10,10,10,41,23,54,0.00,0,,288<br />
2015-1-19,47,38,30,27,19,9,71,45,21,30.02,29.95,29.88,10,10,10,32,17,45,0.00,2,,323<br />
2015-1-20,35,26,17,19,13,8,86,61,35,30.29,30.17,30.05,10,10,10,23,9,31,0.00,1,,317<br />
2015-1-21,28,18,6,13,9,1,88,66,36,30.46,30.33,30.22,10,10,10,20,9,28,0.00,2,Snow,335<br />
2015-1-22,39,21,3,9,1,-10,84,47,12,30.48,30.34,30.17,10,10,10,16,7,21,0.00,0,,262<br />
2015-1-23,41,32,24,18,12,8,76,45,25,30.31,30.21,30.12,10,10,10,23,17,30,0.00,3,,320<br />
2015-1-24,45,38,30,27,17,9,75,44,25,30.11,30.03,29.94,10,10,10,36,22,47,0.00,3,Rain,309<br />
2015-1-25,51,40,29,27,25,22,80,55,36,30.17,30.08,30.01,10,10,10,26,16,36,0.00,2,,313<br />
2015-1-26,66,48,30,23,21,17,68,38,16,30.20,30.10,30.02,10,10,10,22,11,30,0.00,0,,295<br />
2015-1-27,66,50,35,26,19,16,55,34,15,30.09,29.97,29.82,10,10,10,25,12,33,0.00,0,,286<br />
2015-1-28,49,42,35,34,28,25,84,57,38,30.25,30.01,29.79,10,10,10,32,22,46,0.00,3,Rain,318<br />
2015-1-29,41,33,25,27,23,19,86,67,47,30.48,30.39,30.29,10,10,10,17,8,21,0.00,3,Rain,248<br />
2015-1-30,46,34,22,29,24,20,92,68,41,30.28,30.16,30.00,10,10,10,13,5,17,0.00,3,,343<br />
2015-1-31,37,31,21,30,26,17,94,82,67,30.05,29.85,29.74,10,9,4,29,7,38,0.00,7,Rain-Snow,355<br />
