
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,43,32,21,30,25,19,96,87,49,30.24,30.05,29.93,10,4,0,10,5,,0.00,4,Fog,338<br />
2015-2-2,48,36,23,25,23,19,85,64,37,30.20,30.14,30.04,10,10,10,14,6,,0.00,0,,344<br />
2015-2-3,53,40,28,30,26,22,79,61,38,30.13,30.06,30.01,10,10,10,16,10,,0.00,0,,348<br />
2015-2-4,57,42,27,31,27,23,85,59,31,30.21,30.05,29.97,10,10,10,12,6,,0.00,0,,348<br />
2015-2-5,57,40,24,29,23,20,88,59,23,30.33,30.25,30.19,10,10,10,15,5,,0.00,0,,1<br />
2015-2-6,61,46,30,22,21,16,67,43,20,30.30,30.20,30.12,10,10,10,17,11,,0.00,0,,348<br />
2015-2-7,64,47,30,24,19,12,59,37,13,30.13,30.04,29.91,10,10,10,15,7,,0.00,0,,350<br />
2015-2-8,64,48,33,24,21,16,59,38,15,30.17,30.09,30.02,10,10,10,16,9,28,0.00,0,,358<br />
2015-2-9,64,48,33,28,25,23,70,47,22,30.23,30.09,29.98,10,10,10,16,11,22,0.00,0,,359<br />
2015-2-10,64,48,33,29,21,10,73,43,13,30.04,29.93,29.80,10,10,10,15,9,24,0.00,0,,341<br />
2015-2-11,46,39,28,34,30,16,89,70,29,30.41,30.19,29.85,10,10,10,14,8,,0.02,7,Rain,14<br />
2015-2-12,52,38,23,30,26,20,96,76,38,30.48,30.37,30.21,10,7,0,14,4,20,0.00,3,Fog,3<br />
2015-2-13,60,44,28,26,22,17,85,50,19,30.30,30.24,30.17,10,10,10,16,7,22,0.00,0,,348<br />
2015-2-14,63,46,30,26,21,19,73,40,19,30.26,30.13,29.96,10,10,10,15,8,,0.00,0,,316<br />
2015-2-15,64,48,32,31,22,15,75,42,16,29.97,29.84,29.68,10,10,10,16,7,25,0.00,0,,293<br />
2015-2-16,46,35,24,22,18,6,88,63,20,30.07,29.96,29.83,10,10,9,21,12,23,0.00,3,Snow,161<br />
2015-2-17,46,34,21,23,16,4,89,61,20,30.18,30.12,30.02,10,9,2,10,7,,0.00,4,Snow,347<br />
2015-2-18,57,41,25,15,7,1,58,30,13,30.21,30.14,30.05,10,10,10,16,8,,0.00,0,,343<br />
2015-2-19,62,43,24,15,13,10,62,33,13,30.17,30.04,29.89,10,10,10,14,9,,0.00,0,,352<br />
2015-2-20,64,46,28,17,12,4,58,29,10,29.90,29.77,29.62,10,10,10,29,7,37,0.00,0,,290<br />
2015-2-21,52,38,24,21,16,13,62,39,26,29.87,29.80,29.70,10,10,10,18,7,24,0.00,3,,287<br />
2015-2-22,37,26,14,28,15,6,74,65,54,30.30,30.06,29.85,10,9,2,28,16,39,0.00,7,Snow,147<br />
2015-2-23,27,18,10,15,8,3,80,66,55,30.40,30.28,30.14,10,9,2,21,14,29,0.00,7,Snow,163<br />
2015-2-24,39,28,18,32,23,14,92,76,54,30.19,30.04,29.96,10,8,1,16,9,22,0.00,7,Snow,16<br />
2015-2-25,48,34,21,26,21,18,96,72,35,30.01,29.94,29.80,10,8,1,21,8,25,0.00,2,,307<br />
2015-2-26,30,24,17,27,18,12,89,76,63,30.12,30.01,29.91,10,7,2,25,16,31,0.00,8,Snow,147<br />
2015-2-27,19,17,15,14,11,7,88,77,62,30.10,29.95,29.86,10,4,0,24,18,32,0.00,8,Fog-Snow,150<br />
2015-2-28,34,24,15,32,17,10,96,82,75,30.03,29.93,29.86,10,4,0,15,10,,0.16,8,Fog-Rain-Snow,155<br />
