
HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,76,70,63,59,57,52,78,66,53,29.92,29.87,29.82,10,10,9,18,7,22,0.00,5,,299<br />
2015-1-2,77,71,64,72,65,58,93,79,64,29.81,29.64,29.52,10,7,1,38,11,47,0.71,6,Rain-Thunderstorm,242<br />
2015-1-3,76,69,62,60,57,54,100,75,49,29.75,29.64,29.54,10,10,10,37,12,48,0.02,4,,341<br />
2015-1-4,78,68,58,56,55,53,87,65,43,29.91,29.81,29.73,10,10,10,21,7,26,0.00,4,,348<br />
2015-1-5,76,67,57,61,58,55,90,72,54,29.96,29.93,29.89,10,10,9,12,4,15,0.00,2,,284<br />
2015-1-6,79,72,64,64,57,53,84,63,42,30.00,29.96,29.91,10,10,10,17,8,20,T,2,,360<br />
2015-1-7,78,71,64,58,55,53,73,60,46,30.00,29.96,29.92,10,10,9,18,8,24,0.00,3,,14<br />
2015-1-8,80,71,61,61,58,56,84,66,48,30.04,29.99,29.94,10,10,10,13,6,16,0.00,4,,13<br />
2015-1-9,80,73,66,64,60,56,81,62,42,30.04,30.00,29.94,10,10,10,10,4,14,0.00,4,,344<br />
2015-1-10,80,74,68,65,63,59,84,68,52,30.01,29.97,29.91,10,10,10,14,5,20,0.00,3,,36<br />
2015-1-11,79,71,63,66,64,61,93,76,58,29.98,29.93,29.88,10,10,10,10,4,14,0.00,2,,276<br />
2015-1-12,79,72,65,65,63,61,93,75,56,29.98,29.94,29.91,10,10,10,13,4,15,0.00,2,,275<br />
2015-1-13,79,71,63,63,62,61,93,74,54,30.02,29.96,29.91,10,10,9,9,2,13,0.00,2,,230<br />
2015-1-14,80,73,66,68,65,62,87,75,62,30.05,30.00,29.96,10,10,8,9,3,13,0.00,4,,151<br />
2015-1-15,80,74,68,70,68,65,90,79,67,30.07,30.03,29.99,10,9,6,14,6,17,T,6,Rain,173<br />
2015-1-16,80,76,71,70,68,65,93,78,62,30.11,30.05,30.00,10,10,7,13,5,17,0.03,6,Rain,300<br />
2015-1-17,80,75,70,67,66,63,84,76,67,30.07,30.02,29.96,10,10,10,12,4,15,0.00,5,,330<br />
2015-1-18,85,75,65,66,63,57,93,67,40,30.08,30.03,29.97,10,10,7,14,5,17,0.00,2,,22<br />
2015-1-19,81,74,67,70,67,64,93,78,62,30.09,30.04,29.99,10,10,9,14,4,21,0.00,2,,142<br />
2015-1-20,83,74,65,69,66,62,93,78,62,30.06,30.01,29.94,10,10,8,15,5,18,0.00,2,,166<br />
2015-1-21,81,73,65,66,64,62,93,76,58,30.00,29.97,29.91,10,10,10,13,5,16,0.00,2,,127<br />
2015-1-22,81,74,67,68,66,64,93,78,62,30.02,29.97,29.91,10,10,8,10,5,14,0.00,3,,216<br />
2015-1-23,80,76,71,74,71,67,100,87,74,30.01,29.97,29.92,10,9,2,17,6,21,0.10,6,Rain,199<br />
2015-1-24,79,67,54,70,65,62,100,81,62,30.07,30.03,29.98,10,10,9,18,9,26,T,4,Rain,355<br />
2015-1-25,77,72,67,62,62,61,87,74,60,30.06,30.01,29.96,10,10,10,25,11,31,0.00,4,,18<br />
2015-1-26,81,74,67,62,60,57,81,63,45,29.99,29.95,29.90,10,10,10,24,11,29,0.00,2,,40<br />
2015-1-27,81,73,64,65,62,60,87,69,51,29.99,29.94,29.89,10,10,10,20,6,23,0.00,3,,39<br />
2015-1-28,80,75,69,68,65,63,84,69,54,29.98,29.93,29.88,10,10,10,12,4,16,0.02,5,,228<br />
2015-1-29,80,76,71,71,68,66,93,80,67,29.94,29.90,29.84,10,9,5,17,10,21,0.05,6,Rain,217<br />
2015-1-30,80,73,65,66,63,61,100,77,54,30.00,29.94,29.89,10,10,10,13,5,15,0.00,2,,293<br />
2015-1-31,80,72,64,66,63,61,93,74,54,30.04,30.00,29.96,10,10,10,13,6,16,0.01,3,,300<br />
