
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,38,31,24,19,14,9,68,50,32,30.35,30.27,30.16,10,10,10,20,9,27,0.00,3,,233<br />
2015-1-2,40,38,36,30,26,20,75,64,52,30.38,30.33,30.27,10,10,5,9,4,15,0.01,8,Rain,248<br />
2015-1-3,63,50,36,56,42,30,92,77,62,30.30,30.10,29.94,10,8,1,17,5,22,0.22,8,Rain,122<br />
2015-1-4,65,52,38,56,45,23,93,72,50,30.26,29.94,29.78,10,9,2,32,12,46,0.64,8,Rain,244<br />
2015-1-5,38,31,23,26,12,4,69,53,37,30.57,30.46,30.27,10,10,10,22,9,31,0.00,6,,282<br />
2015-1-6,30,28,25,21,16,8,81,64,46,30.36,30.27,30.22,10,8,3,17,6,25,T,8,Snow,270<br />
2015-1-7,27,17,7,15,6,-8,84,63,42,30.70,30.37,30.17,10,6,0,25,13,37,0.03,7,Snow,307<br />
2015-1-8,29,16,3,7,-1,-3,79,62,45,30.70,30.50,30.06,10,10,6,13,6,17,T,6,Snow,231<br />
2015-1-9,32,25,18,14,4,-2,53,38,23,30.46,30.22,30.04,10,10,9,28,12,40,T,6,Snow,269<br />
2015-1-10,28,17,5,7,2,-2,87,58,29,30.64,30.57,30.51,10,10,10,18,2,24,0.00,0,,249<br />
2015-1-11,46,28,10,33,16,6,100,61,21,30.54,30.48,30.35,10,9,4,8,2,11,0.04,5,Rain,109<br />
2015-1-12,42,38,33,40,35,30,100,95,89,30.39,30.25,30.17,9,4,1,13,3,19,0.38,8,Rain-Snow,327<br />
2015-1-13,33,30,27,29,23,19,89,79,69,30.55,30.45,30.34,10,9,4,14,6,19,T,8,Snow,18<br />
2015-1-14,30,28,26,26,24,21,100,85,69,30.35,30.30,30.25,10,6,0,8,2,10,0.01,8,Fog-Snow,285<br />
2015-1-15,34,30,26,27,24,20,85,73,61,30.27,30.18,30.09,10,10,9,14,4,18,0.00,7,,225<br />
2015-1-16,37,31,25,27,25,23,92,78,64,30.27,30.19,30.11,10,9,7,15,6,19,0.00,4,,245<br />
2015-1-17,59,40,20,31,25,18,96,63,30,30.27,30.10,29.93,10,9,6,18,6,24,0.00,1,,176<br />
2015-1-18,50,47,43,37,29,25,71,55,39,29.98,29.89,29.82,10,10,8,24,10,33,0.02,7,Rain,238<br />
2015-1-19,53,43,32,29,27,25,75,56,36,30.09,30.00,29.92,10,10,10,13,3,18,0.00,4,,263<br />
2015-1-20,54,41,27,32,28,24,92,67,41,29.99,29.92,29.89,10,10,10,14,3,19,0.00,3,,292<br />
2015-1-21,49,41,32,35,30,27,92,67,42,30.15,30.05,29.96,10,10,9,18,6,24,T,6,Rain,232<br />
2015-1-22,40,38,35,29,27,26,70,65,59,30.43,30.34,30.18,10,10,10,13,4,21,0.00,8,,269<br />
2015-1-23,39,34,28,35,30,26,100,85,70,30.39,30.12,29.81,10,6,1,7,3,8,0.40,7,Rain-Snow,49<br />
2015-1-24,36,33,30,34,29,26,96,86,75,29.86,29.77,29.72,10,5,1,17,8,24,0.10,8,Rain-Snow,260<br />
2015-1-25,49,40,30,38,33,28,92,73,54,29.86,29.78,29.70,10,8,4,9,3,12,0.06,6,Rain,155<br />
2015-1-26,40,32,24,39,31,19,100,88,75,29.94,29.75,29.62,10,4,0,16,6,20,0.15,8,Fog-Rain-Snow,301<br />
2015-1-27,25,21,16,18,14,12,88,75,62,30.23,30.04,29.89,10,8,5,12,4,15,0.01,6,Snow,305<br />
2015-1-28,32,24,16,18,14,11,81,62,43,30.43,30.34,30.24,10,9,4,10,2,13,0.01,3,Snow,352<br />
2015-1-29,50,36,21,38,28,18,92,68,44,30.24,30.04,29.89,10,10,6,25,7,35,0.11,6,Rain-Snow,238<br />
2015-1-30,36,28,20,30,19,10,92,71,50,30.47,30.30,30.10,10,8,1,28,10,35,0.04,6,Rain-Snow,299<br />
2015-1-31,38,26,13,21,15,11,88,64,40,30.46,30.38,30.28,10,10,10,9,2,,0.00,3,,223<br />
