
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,37,27,16,27,18,6,75,61,47,30.23,30.13,29.93,10,8,1,16,5,19,T,7,Snow,228<br />
2015-2-2,36,26,16,34,27,4,96,74,51,29.99,29.59,29.38,10,5,1,28,12,43,1.19,7,Rain-Snow,35<br />
2015-2-3,26,21,16,9,5,3,62,52,42,30.32,30.23,30.02,10,10,10,20,8,27,0.00,0,,283<br />
2015-2-4,43,30,17,26,20,9,77,62,46,30.31,30.13,29.89,10,10,9,16,6,20,0.00,4,,199<br />
2015-2-5,39,26,13,26,10,-6,70,51,32,30.25,30.03,29.82,10,10,3,28,13,37,T,4,Snow,331<br />
2015-2-6,30,21,11,6,0,-4,58,43,27,30.29,30.20,30.11,10,10,10,17,7,24,0.00,2,,275<br />
2015-2-7,43,30,16,18,14,6,68,49,29,30.17,30.07,29.96,10,10,8,16,4,18,0.00,5,,219<br />
2015-2-8,42,38,33,36,30,17,100,74,47,29.94,29.86,29.80,10,5,0,15,7,20,T,4,Fog,69<br />
2015-2-9,34,30,26,32,24,21,96,87,78,30.00,29.94,29.86,10,7,2,17,12,26,0.03,8,Rain,54<br />
2015-2-10,40,33,26,24,22,20,81,66,50,30.04,30.00,29.97,10,10,8,17,10,29,T,5,,22<br />
2015-2-11,36,29,22,21,14,9,75,54,32,30.06,30.00,29.91,10,10,10,17,7,24,0.00,1,,37<br />
2015-2-12,40,29,18,30,20,-2,78,57,35,29.95,29.80,29.71,10,8,2,25,10,35,T,6,Snow,273<br />
2015-2-13,21,14,7,0,-6,-10,55,43,31,30.20,30.14,30.00,10,10,9,25,10,37,0.00,0,,295<br />
2015-2-14,31,22,12,24,17,1,92,70,47,30.10,29.65,29.47,10,5,0,26,7,40,0.13,7,Fog-Snow,237<br />
2015-2-15,20,12,3,12,-2,-15,80,58,36,30.17,29.80,29.55,10,4,0,29,18,43,0.03,4,Snow,314<br />
2015-2-16,18,10,1,1,-8,-14,57,47,37,30.25,30.18,30.06,10,10,2,22,10,32,T,2,Snow,292<br />
2015-2-17,28,20,12,12,8,4,84,67,50,30.06,29.92,29.84,10,5,1,10,5,14,0.14,6,Snow,356<br />
2015-2-18,30,18,6,13,5,0,76,56,35,29.94,29.82,29.70,10,9,5,18,6,25,T,1,Snow,269<br />
2015-2-19,22,15,7,10,-3,-14,58,44,30,30.06,29.88,29.77,10,10,3,25,14,35,T,3,Snow,291<br />
2015-2-20,16,8,0,-8,-12,-17,55,44,33,30.49,30.31,30.09,10,10,9,22,10,32,0.00,0,,283<br />
2015-2-21,32,18,3,29,16,-8,92,69,45,30.50,30.30,30.14,10,4,0,20,6,26,0.50,6,Fog-Rain-Snow,193<br />
2015-2-22,42,37,32,32,30,26,92,75,57,30.21,30.14,30.10,10,5,2,9,3,13,0.23,5,Rain,276<br />
2015-2-23,36,23,9,23,3,-12,70,48,25,30.39,30.29,30.19,10,10,10,24,11,32,0.00,2,,333<br />
2015-2-24,24,12,0,7,-5,-11,67,49,30,30.38,30.16,29.83,10,10,9,17,5,21,0.00,0,,181<br />
2015-2-25,37,23,9,16,11,5,83,61,38,29.98,29.87,29.75,10,10,9,18,6,27,0.00,0,,269<br />
2015-2-26,30,26,21,16,11,5,65,52,38,30.13,29.99,29.89,10,10,9,16,8,21,0.00,5,,18<br />
2015-2-27,29,24,19,12,6,0,73,54,34,30.61,30.39,30.15,10,10,10,14,7,18,0.00,3,,325<br />
2015-2-28,28,20,11,3,-2,-5,53,39,25,30.82,30.75,30.63,10,10,10,12,5,15,0.00,0,,318<br />
