
HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,83,76,68,65,63,62,81,68,54,30.04,29.96,29.86,10,10,10,17,6,22,0.00,3,,27<br />
2015-2-2,82,76,69,71,68,63,84,73,62,29.93,29.84,29.78,10,10,9,20,11,26,0.01,5,,203<br />
2015-2-3,83,80,76,75,72,69,87,76,65,29.81,29.78,29.73,10,9,2,25,14,31,0.07,7,Rain,246<br />
2015-2-4,83,77,71,72,68,65,87,73,58,29.83,29.80,29.76,10,10,8,25,14,32,0.02,4,Rain,254<br />
2015-2-5,83,75,67,65,60,56,87,65,43,29.87,29.82,29.78,10,10,10,25,9,35,0.01,4,,308<br />
2015-2-6,81,71,61,61,58,54,78,64,49,29.99,29.90,29.85,10,10,10,22,9,29,0.01,3,,265<br />
2015-2-7,81,73,65,60,57,53,73,56,39,30.06,30.01,29.97,10,10,10,16,6,25,0.00,3,,348<br />
2015-2-8,80,70,60,66,58,50,81,60,39,30.04,29.97,29.90,10,10,10,12,6,16,0.02,4,,170<br />
2015-2-9,83,79,74,68,66,63,74,65,55,29.92,29.87,29.81,10,10,10,21,14,26,0.01,3,,214<br />
2015-2-10,82,77,71,70,61,51,93,65,37,29.88,29.85,29.80,10,10,4,24,13,31,0.06,5,Rain,273<br />
2015-2-11,82,75,68,59,56,52,68,52,36,29.95,29.88,29.81,10,10,10,23,11,29,0.01,4,,284<br />
2015-2-12,78,72,66,61,59,57,78,66,54,29.96,29.91,29.84,10,10,10,15,6,20,0.01,5,,182<br />
2015-2-13,82,78,74,75,67,60,100,81,62,29.87,29.79,29.71,10,10,10,22,14,29,0.05,5,,205<br />
2015-2-14,80,74,68,75,69,56,100,79,57,29.83,29.71,29.65,10,8,1,33,16,40,0.30,6,Rain,257<br />
2015-2-15,77,70,62,59,57,54,78,62,46,30.00,29.90,29.83,10,10,10,13,7,17,0.02,1,,18<br />
2015-2-16,79,71,63,64,62,59,90,75,60,30.03,29.98,29.94,10,10,10,12,5,14,0.00,2,,292<br />
2015-2-17,80,73,66,67,65,62,87,75,62,30.04,30.00,29.95,10,10,9,10,5,14,0.02,1,,192<br />
2015-2-18,81,74,67,67,64,63,93,76,58,30.04,30.00,29.94,10,10,7,15,5,18,0.01,3,,31<br />
2015-2-19,82,76,69,73,68,65,100,81,62,29.98,29.93,29.88,10,9,6,15,7,20,0.02,5,Rain,218<br />
2015-2-20,77,72,67,70,67,62,100,85,69,30.00,29.95,29.90,10,8,2,21,8,26,0.16,6,Rain,342<br />
2015-2-21,81,73,65,62,60,57,87,68,48,30.02,29.98,29.92,10,10,10,14,8,22,0.00,2,,13<br />
2015-2-22,81,74,66,67,63,59,81,70,58,30.02,29.98,29.93,10,10,10,15,5,18,0.01,2,,79<br />
2015-2-23,86,78,70,67,65,62,90,71,51,30.05,30.00,29.96,10,10,10,16,8,21,0.00,3,,51<br />
2015-2-24,84,77,69,67,64,62,84,70,55,30.07,30.02,29.96,10,10,10,18,9,24,0.00,3,,44<br />
2015-2-25,83,78,72,65,63,62,73,64,54,30.03,29.97,29.91,10,10,10,21,11,28,0.00,4,,60<br />
2015-2-26,82,77,71,70,68,65,90,77,63,29.98,29.94,29.90,10,10,10,14,6,16,0.01,4,,231<br />
2015-2-27,84,78,71,70,67,65,90,73,55,29.99,29.95,29.91,10,10,9,15,5,25,0.08,5,Rain,357<br />
2015-2-28,82,77,71,67,65,63,84,71,58,29.99,29.95,29.89,10,10,10,17,9,26,0.00,6,,354<br />
