
HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-1-1,81,74,66,70,65,62,87,75,62,29.99,29.93,29.86,10,9,2,13,3,16,0.00,3,,168<br />
2014-1-2,81,75,69,73,69,66,100,84,67,29.89,29.81,29.75,10,8,2,31,11,41,1.25,6,Rain,226<br />
2014-1-3,79,73,67,70,60,50,100,70,39,29.92,29.82,29.76,10,9,2,24,10,32,0.09,5,Rain,337<br />
2014-1-4,78,72,65,59,51,47,70,52,33,30.01,29.94,29.89,10,10,9,21,8,29,0.00,4,,16<br />
2014-1-5,78,70,62,58,55,52,84,62,39,30.03,29.97,29.92,10,10,10,20,8,24,T,4,,354<br />
2014-1-6,79,72,64,58,54,50,73,56,39,30.08,30.03,29.99,10,10,10,20,8,25,0.00,2,,4<br />
2014-1-7,79,72,65,56,54,52,68,56,43,30.12,30.07,30.02,10,10,10,21,9,28,0.00,3,,21<br />
2014-1-8,80,75,69,63,58,55,73,59,45,30.06,30.01,29.96,10,10,9,16,7,22,T,4,Rain,9<br />
2014-1-9,79,72,65,64,62,59,87,71,54,30.03,29.97,29.91,10,10,10,14,6,17,0.00,2,,36<br />
2014-1-10,82,75,67,67,64,62,81,68,54,30.01,29.95,29.88,10,10,7,16,7,22,0.02,3,Rain,12<br />
2014-1-11,79,73,66,68,66,63,93,78,62,29.97,29.93,29.90,10,9,4,14,4,17,0.09,5,Rain-Thunderstorm,343<br />
2014-1-12,80,73,66,70,68,65,93,82,71,30.00,29.95,29.91,10,10,10,12,4,16,T,4,Rain-Thunderstorm,102<br />
2014-1-13,79,73,67,71,68,63,100,87,74,29.98,29.93,29.87,10,9,4,20,5,25,0.09,4,Rain,276<br />
2014-1-14,79,74,69,70,67,65,97,81,64,29.93,29.88,29.84,10,10,7,17,5,21,0.01,4,Rain,259<br />
2014-1-15,79,72,65,69,66,64,93,79,64,29.92,29.87,29.83,10,10,10,16,6,21,0.00,3,,217<br />
2014-1-16,80,74,67,70,66,60,93,74,54,29.99,29.93,29.88,10,10,10,18,8,22,0.01,4,,272<br />
2014-1-17,79,74,68,68,65,63,84,76,67,30.03,29.99,29.96,10,10,10,12,4,15,0.00,3,,205<br />
2014-1-18,79,73,66,66,65,63,87,73,58,30.06,30.00,29.94,10,10,10,14,4,17,0.00,2,,257<br />
2014-1-19,80,73,66,66,64,60,93,74,54,29.98,29.94,29.89,10,10,10,15,4,24,T,3,,331<br />
2014-1-20,79,72,65,65,64,62,87,73,58,29.96,29.91,29.86,10,10,10,12,4,16,0.00,2,,183<br />
2014-1-21,81,74,67,68,65,62,90,74,58,29.91,29.85,29.80,10,9,2,26,10,36,0.18,3,Rain,215<br />
2014-1-22,80,74,67,69,59,45,97,64,30,29.94,29.83,29.77,10,9,1,36,16,46,0.24,4,Rain,298<br />
2014-1-23,77,69,61,55,53,50,78,61,44,29.98,29.93,29.85,10,10,10,14,6,18,0.00,2,,324<br />
2014-1-24,78,70,61,59,56,53,78,64,50,29.96,29.88,29.81,10,10,10,16,5,20,0.00,3,,263<br />
2014-1-25,80,71,62,62,58,55,84,66,48,29.87,29.83,29.78,10,10,10,23,10,28,0.00,5,,244<br />
2014-1-26,79,75,70,70,67,61,97,79,60,29.92,29.86,29.82,10,7,1,18,9,24,0.20,7,Rain-Thunderstorm,311<br />
2014-1-27,77,73,68,65,62,59,87,76,64,30.03,29.95,29.89,10,10,7,18,7,25,0.03,7,Rain,2<br />
2014-1-28,77,73,69,61,58,56,73,62,50,30.11,30.04,29.99,10,10,10,28,13,37,T,5,,21<br />
2014-1-29,78,73,68,68,65,63,90,77,64,30.06,30.01,29.95,10,10,4,23,12,30,0.14,6,Rain,55<br />
2014-1-30,80,74,67,65,63,60,87,71,54,29.99,29.93,29.86,10,10,9,12,4,14,0.00,2,,84<br />
2014-1-31,80,74,67,70,67,63,87,77,67,29.91,29.86,29.81,10,10,4,20,6,26,0.10,4,Rain,131<br />
