
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,33,22,12,17,9,4,68,59,38,30.20,30.15,30.06,10,10,6,15,6,23,0.00,5,Snow,203<br />
2015-2-2,26,19,12,18,12,3,89,81,61,30.06,29.67,29.46,10,2,0,20,11,31,0.58,7,Fog-Snow,355<br />
2015-2-3,23,12,0,6,1,-5,88,63,40,30.32,30.19,29.91,10,10,2,10,6,,0.00,0,Snow,204<br />
2015-2-4,37,21,5,31,14,0,92,78,59,30.32,30.20,29.93,10,7,1,14,3,21,0.02,7,Rain,180<br />
2015-2-5,34,22,10,32,17,-6,96,69,37,30.18,29.97,29.83,10,5,0,26,8,32,0.04,6,Fog-Rain-Snow,327<br />
2015-2-6,21,10,0,6,0,-8,83,59,46,30.23,30.16,30.08,10,10,6,13,7,21,0.00,2,,213<br />
2015-2-7,28,20,12,24,18,6,85,77,57,30.16,30.08,30.02,10,5,0,10,4,,0.02,7,Fog-Snow,192<br />
2015-2-8,32,24,16,27,22,12,92,85,75,30.06,30.01,29.94,10,3,1,15,5,16,0.14,8,Snow,25<br />
2015-2-9,19,18,16,15,13,11,85,81,74,30.11,30.08,30.05,10,3,0,17,13,23,0.12,8,Fog-Snow,7<br />
2015-2-10,33,26,19,21,17,12,78,70,59,30.12,30.09,30.05,10,10,10,16,12,22,0.00,6,,6<br />
2015-2-11,28,22,15,15,8,4,70,57,37,30.15,30.05,29.95,10,10,10,18,9,22,0.00,0,,6<br />
2015-2-12,34,22,10,27,17,2,88,74,49,29.93,29.78,29.69,10,7,1,16,3,26,0.01,7,Snow,269<br />
2015-2-13,16,8,1,-1,-11,-17,69,42,23,30.16,30.07,29.88,10,10,10,21,13,32,0.00,0,,313<br />
2015-2-14,24,10,-4,18,10,-9,95,82,55,30.13,29.70,29.48,10,4,0,9,3,,0.13,6,Fog-Snow,7<br />
2015-2-15,19,10,0,15,3,-17,85,62,44,30.01,29.65,29.42,10,4,0,28,14,39,0.00,4,Snow,333<br />
2015-2-16,17,8,-2,-9,-14,-18,51,38,27,30.12,30.08,30.02,10,10,10,17,11,28,0.00,0,Snow,293<br />
2015-2-17,21,14,6,7,1,-10,84,60,35,30.08,29.95,29.87,10,8,2,9,5,,0.00,6,Snow,14<br />
2015-2-18,30,14,-2,20,5,-5,91,73,38,29.98,29.87,29.72,10,7,2,8,1,,0.00,2,Snow,174<br />
2015-2-19,21,15,8,16,4,-12,92,63,35,29.90,29.72,29.65,10,7,0,23,7,36,0.00,4,Fog-Snow,269<br />
2015-2-20,19,10,0,-4,-9,-13,79,46,30,30.48,30.17,29.91,10,10,8,16,10,32,0.00,0,,274<br />
2015-2-21,30,12,-6,29,14,-10,96,83,48,30.54,30.35,30.17,10,4,0,17,5,28,0.45,5,Fog-Snow,177<br />
2015-2-22,39,32,24,29,27,22,100,87,60,30.19,30.15,30.12,10,5,1,8,3,,0.06,6,Snow,163<br />
2015-2-23,30,16,3,19,-1,-13,69,47,32,30.39,30.28,30.16,10,10,10,17,9,32,0.00,2,,315<br />
2015-2-24,18,7,-4,12,0,-10,81,65,40,30.37,30.15,29.87,10,8,2,16,6,24,0.00,3,Snow,179<br />
2015-2-25,35,20,5,12,7,2,92,61,32,30.04,29.84,29.75,10,8,4,14,5,24,0.00,1,,263<br />
2015-2-26,23,20,17,14,9,2,78,62,46,30.15,30.05,29.96,10,8,1,15,8,,0.00,6,Snow,353<br />
2015-2-27,27,20,12,3,1,-3,65,45,27,30.61,30.38,30.17,10,10,10,13,7,21,0.00,0,,324<br />
2015-2-28,30,20,10,5,1,-2,80,48,29,30.80,30.73,30.64,10,10,9,9,5,,0.00,0,,279<br />
