
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,30,22,14,22,15,10,88,80,72,30.22,30.05,29.76,10,2,0,29,17,37,0.53,8,Fog-Snow,47<br />
2015-2-2,15,10,4,10,3,-4,88,67,46,30.19,29.98,29.75,10,6,0,25,11,32,0.12,4,Fog-Snow,322<br />
2015-2-3,24,15,5,21,13,1,88,75,62,30.20,30.12,30.03,10,6,2,17,11,22,0.06,6,Snow,207<br />
2015-2-4,26,18,9,25,17,3,100,81,62,30.29,30.06,29.95,10,5,1,16,9,21,0.02,7,Snow,287<br />
2015-2-5,17,6,-6,5,1,-8,91,74,56,30.48,30.37,30.22,10,10,9,22,9,27,0.00,0,,254<br />
2015-2-6,29,20,10,18,11,-4,74,63,52,30.19,30.15,30.08,10,9,6,22,11,28,0.00,6,,228<br />
2015-2-7,39,33,26,30,24,17,82,73,63,30.05,29.88,29.71,10,7,5,10,6,12,0.00,2,,175<br />
2015-2-8,37,29,20,32,26,16,92,84,76,30.00,29.76,29.62,10,4,1,22,10,29,T,7,Snow,32<br />
2015-2-9,22,17,11,16,13,7,84,76,67,30.28,30.15,29.99,10,9,5,21,9,26,0.00,6,,22<br />
2015-2-10,28,14,-1,14,8,-3,91,73,55,30.35,30.27,30.14,10,9,6,17,4,21,0.00,0,,116<br />
2015-2-11,32,25,18,28,21,12,88,78,68,30.12,29.96,29.85,10,5,2,21,12,26,T,8,Snow,249<br />
2015-2-12,24,13,2,12,1,-6,69,58,46,30.44,30.22,29.98,10,9,2,23,12,31,T,4,Snow,331<br />
2015-2-13,20,9,-3,16,5,-8,87,68,49,30.42,30.12,29.82,10,7,1,24,12,30,0.02,8,Snow,223<br />
2015-2-14,22,11,0,19,6,-11,92,72,51,30.36,29.83,29.65,10,3,0,31,16,42,0.04,7,Fog-Snow,316<br />
2015-2-15,1,-6,-13,-13,-17,-22,72,60,47,30.63,30.55,30.38,10,10,9,17,6,23,0.00,0,Snow,344<br />
2015-2-16,10,-1,-13,-5,-9,-16,79,65,50,30.52,30.28,30.00,10,10,10,12,5,14,0.00,6,,155<br />
2015-2-17,21,13,4,12,4,-6,80,69,58,30.04,29.88,29.80,10,6,1,22,10,27,0.02,7,Snow,234<br />
2015-2-18,13,6,-2,7,2,-6,88,71,53,30.12,29.83,29.69,10,5,0,21,10,26,T,7,Snow,273<br />
2015-2-19,5,-2,-10,-8,-13,-18,79,63,46,30.39,30.25,30.07,10,9,2,15,7,20,T,4,Snow,320<br />
2015-2-20,13,-1,-16,3,-8,-21,77,65,52,30.42,30.28,30.02,10,10,8,24,11,29,T,4,Snow,183<br />
2015-2-21,28,21,13,18,12,4,92,78,64,30.14,30.01,29.93,10,7,4,17,5,22,T,7,Snow,201<br />
2015-2-22,24,13,1,19,11,-8,92,72,51,30.61,30.28,30.09,10,6,2,21,10,25,T,7,Snow,295<br />
2015-2-23,12,0,-13,-2,-8,-17,79,66,53,30.72,30.59,30.31,10,10,8,18,7,22,0.00,0,,253<br />
2015-2-24,23,14,5,19,6,-11,77,61,45,30.27,29.79,29.61,10,7,1,29,18,36,0.06,6,Snow,229<br />
2015-2-25,21,11,0,13,1,-4,91,69,47,30.10,29.97,29.70,10,9,2,18,5,26,T,3,Snow,350<br />
2015-2-26,12,4,-4,5,-1,-10,83,67,50,30.42,30.19,30.05,10,5,2,16,8,21,0.03,6,Snow,7<br />
2015-2-27,18,4,-11,4,-5,-15,83,65,46,30.69,30.57,30.43,10,10,7,17,6,21,T,1,,256<br />
2015-2-28,21,11,0,2,-2,-5,79,59,39,30.79,30.70,30.56,10,10,8,13,8,22,0.00,1,,197<br />
