
HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-4-1,80,74,68,69,66,63,100,81,62,30.02,29.99,29.94,10,10,10,18,9,24,0.00,5,Rain,46<br />
2015-4-2,82,75,68,68,65,64,90,74,58,30.02,29.97,29.92,10,10,10,17,11,25,0.00,6,,55<br />
2015-4-3,84,75,66,68,67,64,100,84,67,30.05,29.99,29.94,10,10,10,14,5,18,0.00,3,,71<br />
2015-4-4,83,78,72,70,66,63,84,69,54,30.08,30.03,29.99,10,10,8,20,11,28,0.01,5,Rain,60<br />
2015-4-5,82,76,70,70,65,61,93,72,51,30.06,30.02,29.97,10,10,6,25,13,37,0.02,4,Rain,63<br />
2015-4-6,81,75,69,62,58,49,73,54,35,30.04,30.00,29.95,10,10,10,23,14,30,0.00,3,,52<br />
2015-4-7,82,75,68,66,63,61,81,68,54,30.05,30.01,29.97,10,10,10,21,9,26,0.01,4,,58<br />
2015-4-8,84,77,70,65,61,58,68,56,43,30.09,30.05,30.01,10,10,10,25,14,32,0.01,3,,59<br />
2015-4-9,84,78,72,64,61,59,73,60,46,30.11,30.06,30.00,10,10,10,24,14,31,0.00,2,,52<br />
2015-4-10,84,76,67,64,59,56,70,57,43,30.11,30.07,30.03,10,10,10,18,8,26,0.00,3,,54<br />
2015-4-11,85,79,73,65,63,61,68,56,44,30.09,30.06,30.01,10,10,10,21,12,32,T,4,,64<br />
2015-4-12,84,77,70,65,62,60,84,66,47,30.10,30.06,30.02,10,10,10,21,9,28,0.00,3,,39<br />
2015-4-13,84,78,72,66,64,61,79,64,48,30.12,30.07,30.04,10,10,10,26,14,32,0.01,3,Rain,61<br />
2015-4-14,83,77,70,66,65,63,84,70,55,30.13,30.08,30.04,10,10,10,22,13,29,T,5,,58<br />
2015-4-15,84,78,71,66,64,60,84,70,55,30.09,30.06,30.01,10,10,10,22,13,31,0.00,4,,57<br />
2015-4-16,86,79,72,66,64,62,73,61,48,30.06,30.03,29.98,10,10,10,24,11,29,0.00,3,,47<br />
2015-4-17,83,77,70,68,65,63,97,74,51,30.12,30.05,30.00,10,10,7,25,14,33,0.06,3,Rain,59<br />
2015-4-18,85,79,73,65,63,62,73,61,48,30.15,30.10,30.06,10,10,10,26,16,32,0.00,2,,57<br />
2015-4-19,84,79,73,66,63,60,74,61,47,30.16,30.12,30.07,10,10,8,26,17,33,T,4,Rain,55<br />
2015-4-20,82,78,73,64,62,59,68,59,49,30.12,30.08,30.03,10,10,10,25,18,36,0.00,4,,57<br />
2015-4-21,85,79,72,71,65,62,79,64,48,30.06,30.02,29.98,10,10,7,24,15,31,T,5,Rain,62<br />
2015-4-22,83,75,67,70,67,65,100,78,55,30.02,29.99,29.95,10,10,10,18,7,23,0.00,3,,75<br />
2015-4-23,84,77,69,70,68,64,90,73,55,30.03,29.98,29.93,10,10,5,15,5,20,0.01,6,Rain-Tornado,163<br />
2015-4-24,80,74,68,70,68,65,97,80,62,30.01,29.98,29.94,10,10,9,14,6,18,0.00,4,,156<br />
2015-4-25,80,75,70,70,69,68,97,84,71,30.00,29.97,29.94,10,10,9,16,10,21,T,5,,169<br />
2015-4-26,79,76,72,71,70,68,93,85,76,30.05,29.99,29.94,10,9,2,14,8,18,0.00,6,Rain,213<br />
2015-4-27,78,74,69,69,64,62,87,73,58,30.11,30.05,30.00,10,10,10,26,13,35,0.00,4,,34<br />
2015-4-28,79,74,68,68,67,65,97,80,62,30.13,30.08,30.04,10,10,9,23,12,31,0.01,4,Rain,57<br />
2015-4-29,80,75,69,65,64,63,84,71,58,30.13,30.08,30.04,10,10,10,26,16,36,T,4,,60<br />
2015-4-30,81,75,69,66,63,59,84,68,51,30.11,30.08,30.04,10,10,10,26,16,36,0.00,3,,65<br />
