
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,32,18,3,31,14,-3,92,83,73,30.45,30.07,29.81,10,2,0,37,22,45,0.40,7,Fog-Snow,349<br />
2015-2-2,19,6,-7,12,1,-11,92,83,73,30.45,30.29,30.08,10,10,10,20,7,23,0.00,1,,203<br />
2015-2-3,38,23,7,30,18,4,92,83,74,30.19,30.07,29.92,10,10,7,15,6,19,0.00,2,,236<br />
2015-2-4,24,6,-13,18,9,-13,91,76,61,30.64,30.39,30.16,10,5,0,31,14,38,0.52,3,Fog-Snow,2<br />
2015-2-5,26,5,-16,16,1,-18,86,71,55,30.62,30.38,30.14,10,9,7,18,8,24,0.00,0,,177<br />
2015-2-6,43,33,22,32,26,18,100,81,62,30.12,29.97,29.85,10,9,4,13,6,16,0.00,0,,189<br />
2015-2-7,53,39,24,35,31,23,92,73,54,29.82,29.70,29.60,10,8,2,14,6,18,0.00,0,,193<br />
2015-2-8,57,46,35,41,35,31,92,72,51,30.17,29.93,29.63,10,8,1,24,7,27,0.00,3,,6<br />
2015-2-9,37,35,32,35,32,30,100,93,85,30.29,30.20,30.15,6,2,1,17,7,21,0.00,8,,120<br />
2015-2-10,41,35,29,35,32,29,100,90,79,30.16,30.07,29.96,7,5,2,20,11,24,0.00,6,,204<br />
2015-2-11,39,30,21,35,20,13,92,70,47,30.57,30.39,30.14,10,10,6,29,18,35,0.00,6,,348<br />
2015-2-12,23,15,7,11,4,-1,69,60,51,30.73,30.57,30.32,10,10,10,31,12,37,0.00,3,,72<br />
2015-2-13,53,35,16,30,21,10,82,62,41,30.32,30.21,30.12,10,10,10,17,6,21,0.00,1,,252<br />
2015-2-14,37,26,15,29,10,-1,85,60,35,30.53,30.37,30.11,10,10,8,28,15,33,0.00,4,,36<br />
2015-2-15,19,16,12,3,1,0,61,54,47,30.51,30.41,30.31,10,10,10,16,8,19,0.00,6,,113<br />
2015-2-16,38,28,17,25,14,3,78,63,48,30.32,30.19,30.10,10,10,9,18,6,22,0.00,7,,293<br />
2015-2-17,28,20,12,21,12,1,81,61,40,30.19,30.15,30.10,10,7,1,25,12,31,0.02,5,Snow,326<br />
2015-2-18,20,11,2,3,-2,-5,76,56,35,30.48,30.38,30.16,10,10,10,26,12,33,0.00,1,,329<br />
2015-2-19,23,12,0,11,5,-5,79,63,46,30.50,30.34,30.14,10,8,2,18,8,22,0.01,5,Snow,145<br />
2015-2-20,43,27,11,27,18,6,83,66,48,30.12,29.95,29.86,10,10,9,14,7,17,0.00,3,,192<br />
2015-2-21,40,29,18,30,23,3,92,75,57,30.48,30.11,29.91,10,7,0,25,12,30,0.00,6,Fog,354<br />
2015-2-22,21,12,3,3,-3,-8,66,49,31,30.89,30.72,30.52,10,10,10,25,15,30,0.00,3,,4<br />
2015-2-23,27,11,-5,8,-3,-9,82,54,26,30.89,30.63,30.26,10,10,9,18,7,23,0.00,0,,233<br />
2015-2-24,50,34,18,23,17,10,75,54,33,30.24,30.02,29.90,10,10,10,24,10,29,0.00,0,,286<br />
2015-2-25,46,29,11,35,22,4,85,67,49,30.35,29.93,29.73,10,8,1,35,17,39,0.05,6,Rain-Snow,347<br />
2015-2-26,16,8,-1,4,-1,-5,83,67,51,30.68,30.54,30.31,10,10,10,29,16,32,0.00,3,,354<br />
2015-2-27,21,8,-6,1,-3,-11,86,63,39,30.73,30.64,30.56,10,10,10,10,5,12,0.00,0,,129<br />
2015-2-28,24,15,5,17,11,0,84,74,63,30.56,30.45,30.34,10,6,1,15,8,18,0.03,6,Snow,180<br />
