
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,29,24,19,20,15,10,69,66,62,30.08,29.99,29.88,10,10,4,26,17,37,T,8,Snow,238<br />
2015-1-2,34,28,22,21,18,15,81,66,51,30.36,30.24,30.06,10,10,9,18,6,22,T,4,,261<br />
2015-1-3,33,28,22,32,28,19,96,86,75,30.29,29.95,29.75,9,3,0,15,7,20,0.47,7,Fog-Rain-Snow,103<br />
2015-1-4,32,23,14,31,23,7,100,84,67,30.25,29.86,29.62,10,4,0,25,11,33,0.15,8,Fog-Rain-Snow,293<br />
2015-1-5,14,9,4,5,0,-3,76,70,63,30.54,30.45,30.29,10,5,1,25,13,35,0.04,7,Snow,272<br />
2015-1-6,17,11,5,10,5,-1,80,74,67,30.40,30.22,30.04,10,4,1,26,13,35,0.07,8,Snow,237<br />
2015-1-7,13,7,1,4,-3,-6,87,69,50,30.63,30.43,30.10,10,10,2,22,14,29,T,4,Snow,299<br />
2015-1-8,13,6,-1,9,0,-10,86,71,56,30.50,30.00,29.66,10,4,1,28,19,35,0.05,8,Snow,209<br />
2015-1-9,15,9,3,11,3,-3,88,76,63,30.33,30.05,29.66,10,3,0,28,15,37,0.06,7,Snow,266<br />
2015-1-10,16,9,2,4,0,-3,87,73,58,30.43,30.37,30.27,10,7,2,22,13,28,T,7,Snow,207<br />
2015-1-11,31,24,16,25,16,5,92,73,53,30.36,30.30,30.24,10,7,1,17,10,22,0.14,8,Snow,202<br />
2015-1-12,27,17,6,24,17,0,92,74,56,30.71,30.36,30.21,10,6,1,20,10,25,0.02,7,Snow,325<br />
2015-1-13,15,4,-8,4,-3,-9,91,72,53,30.81,30.72,30.53,10,10,8,10,4,14,0.00,1,,46<br />
2015-1-14,19,4,-12,11,0,-16,79,73,67,30.51,30.35,30.22,10,8,5,14,5,20,T,4,,213<br />
2015-1-15,31,21,11,25,13,4,84,71,58,30.24,30.03,29.89,8,7,5,23,12,26,0.00,6,,223<br />
2015-1-16,32,25,18,25,14,8,81,66,50,30.25,30.14,29.92,10,9,6,15,9,20,0.00,6,,12<br />
2015-1-17,45,31,17,32,24,8,81,69,57,30.20,29.81,29.59,10,9,4,24,16,33,T,2,,187<br />
2015-1-18,39,36,32,33,30,26,89,82,75,29.96,29.71,29.59,10,7,2,20,11,26,0.07,8,Rain-Snow,260<br />
2015-1-19,33,31,28,27,24,21,85,76,66,30.05,29.99,29.93,10,10,7,9,4,13,T,8,Snow,3<br />
2015-1-20,31,28,25,25,23,21,92,85,78,30.07,29.98,29.91,10,6,0,12,7,13,0.07,8,Fog-Snow,58<br />
2015-1-21,28,25,22,23,21,18,92,85,78,30.25,30.07,30.00,10,4,0,12,6,13,0.16,8,Fog-Rain-Snow,66<br />
2015-1-22,30,25,20,20,19,17,92,78,63,30.45,30.38,30.26,10,9,6,13,6,15,T,7,,267<br />
2015-1-23,32,27,21,23,21,17,84,77,69,30.37,30.10,29.83,10,8,6,20,12,24,0.00,6,,231<br />
2015-1-24,37,31,25,32,27,21,96,83,70,29.81,29.67,29.57,10,6,2,18,10,24,T,8,Snow,252<br />
2015-1-25,33,24,15,32,19,8,96,81,65,30.06,29.87,29.68,10,9,3,20,13,27,T,6,,33<br />
2015-1-26,26,17,8,11,8,5,92,69,46,30.04,30.00,29.95,10,10,6,10,5,14,0.00,3,,33<br />
2015-1-27,27,20,12,14,11,7,88,72,55,30.30,30.16,30.02,10,10,9,14,4,17,T,4,,16<br />
2015-1-28,31,20,8,15,8,4,91,65,38,30.38,30.27,30.07,10,10,8,21,8,26,0.00,1,,170<br />
2015-1-29,32,28,23,28,24,16,92,78,63,30.19,29.90,29.75,10,6,0,23,12,33,0.05,8,Fog-Rain-Snow,304<br />
2015-1-30,23,20,16,13,9,6,74,65,56,30.52,30.40,30.17,10,10,3,22,11,30,T,6,Snow,311<br />
2015-1-31,33,25,16,25,18,10,80,71,61,30.40,30.26,30.16,10,9,6,16,7,21,0.00,7,,233<br />
