
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,46,41,35,33,29,26,89,69,49,30.16,30.09,30.01,10,10,10,9,4,11,0.00,4,,312<br />
2015-1-2,54,43,31,29,26,21,85,57,28,30.12,30.05,29.99,10,10,10,10,5,13,0.00,0,,213<br />
2015-1-3,54,44,34,31,28,25,82,57,32,30.32,30.22,30.12,10,10,10,9,4,11,0.00,0,,117<br />
2015-1-4,65,50,35,36,31,29,76,51,26,30.41,30.32,30.28,10,10,10,8,3,12,0.00,2,,111<br />
2015-1-5,74,57,40,36,32,24,76,46,16,30.35,30.25,30.17,10,10,10,14,3,18,0.00,2,,67<br />
2015-1-6,79,62,44,37,32,25,60,38,15,30.29,30.20,30.12,10,10,10,13,4,16,0.00,1,,86<br />
2015-1-7,81,64,47,39,36,32,66,42,17,30.17,30.10,30.04,10,10,10,10,4,13,0.00,4,,117<br />
2015-1-8,71,63,54,40,36,33,55,41,26,30.10,30.03,29.98,10,10,10,20,9,23,0.00,5,,105<br />
2015-1-9,75,63,51,44,39,36,59,46,33,30.05,29.99,29.94,10,10,10,17,7,20,0.00,1,,101<br />
2015-1-10,65,60,54,46,40,37,62,51,39,30.06,30.01,29.98,10,10,10,12,5,14,T,6,Rain,108<br />
2015-1-11,72,63,54,54,46,43,78,57,35,30.08,30.03,29.98,10,10,10,13,6,20,0.01,6,Rain,94<br />
2015-1-12,67,62,56,56,54,51,93,76,58,30.13,30.06,30.01,10,9,7,10,3,13,0.02,6,Rain,236<br />
2015-1-13,63,57,51,52,49,45,93,77,60,30.06,30.01,29.96,10,9,6,23,4,26,0.11,5,Rain,97<br />
2015-1-14,67,57,46,46,43,38,93,64,34,30.21,30.10,30.03,10,10,10,10,3,12,0.00,1,,79<br />
2015-1-15,72,60,47,41,36,31,77,50,22,30.30,30.21,30.15,10,10,10,16,6,20,0.00,0,,72<br />
2015-1-16,74,62,49,38,33,26,59,38,17,30.21,30.14,30.06,10,10,10,15,5,18,0.00,1,,96<br />
2015-1-17,73,60,47,37,33,28,61,41,20,30.22,30.16,30.10,10,10,10,13,5,16,0.00,1,,111<br />
2015-1-18,75,62,48,41,37,33,61,41,21,30.25,30.17,30.10,10,10,10,9,3,11,0.00,3,,83<br />
2015-1-19,75,63,50,42,38,34,66,44,21,30.14,30.06,29.98,10,10,10,10,4,13,0.00,3,,130<br />
2015-1-20,75,62,48,42,39,33,71,47,23,30.03,29.93,29.83,10,10,10,9,3,11,0.00,4,,102<br />
2015-1-21,74,64,53,42,37,31,61,44,27,30.00,29.86,29.79,10,10,10,21,6,25,0.00,4,,355<br />
2015-1-22,65,57,48,34,15,5,56,33,9,30.30,30.18,30.01,10,10,10,23,10,29,0.00,0,,36<br />
2015-1-23,64,54,43,24,20,15,41,29,17,30.32,30.22,30.12,10,10,10,10,5,14,0.00,4,,92<br />
2015-1-24,77,64,50,25,18,11,35,22,8,30.13,30.06,29.98,10,10,10,24,9,28,0.00,2,,72<br />
2015-1-25,78,63,48,32,25,20,41,27,13,30.09,30.04,29.98,10,10,10,16,4,19,0.00,4,,109<br />
2015-1-26,71,62,53,49,33,25,60,39,18,30.15,30.09,30.04,10,10,10,12,3,15,0.01,7,Rain,144<br />
2015-1-27,74,64,53,52,50,47,89,64,38,30.23,30.15,30.10,10,10,10,10,3,13,0.00,5,,203<br />
2015-1-28,75,64,52,52,50,46,89,64,38,30.15,30.08,30.01,10,10,10,12,5,23,0.00,5,,271<br />
2015-1-29,71,65,58,58,51,43,90,64,38,30.05,30.01,29.96,10,9,5,12,3,13,0.24,8,Rain,121<br />
2015-1-30,60,58,55,57,55,53,93,90,86,29.96,29.86,29.80,10,6,1,15,8,18,0.35,8,Rain,88<br />
2015-1-31,60,57,53,55,53,52,93,84,75,29.94,29.83,29.77,10,10,7,12,3,14,0.07,7,Rain,122<br />
