
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,53,47,41,47,41,33,83,77,70,30.38,30.24,30.14,10,10,10,16,8,20,T,7,Rain,58<br />
2015-1-2,70,62,53,65,59,48,100,89,77,30.17,30.09,30.01,10,6,1,14,8,18,0.04,7,Rain,92<br />
2015-1-3,74,66,58,70,64,56,93,90,87,30.06,29.96,29.85,10,6,0,30,9,30,3.52,8,Fog-Rain-Thunderstorm,201<br />
2015-1-4,59,52,44,56,48,36,93,73,53,30.54,30.25,30.06,10,10,10,15,7,19,0.00,3,,307<br />
2015-1-5,52,42,32,33,28,25,89,64,38,30.65,30.54,30.46,10,10,10,13,4,18,0.00,0,,180<br />
2015-1-6,63,46,29,37,32,27,92,62,32,30.50,30.41,30.33,10,10,10,8,3,12,0.00,0,,296<br />
2015-1-7,56,42,28,37,26,8,92,61,29,30.68,30.48,30.34,10,10,10,20,7,32,0.00,2,,8<br />
2015-1-8,38,29,20,23,9,2,63,45,27,30.67,30.54,30.38,10,10,10,14,6,23,0.00,1,,62<br />
2015-1-9,39,36,33,30,26,23,82,68,54,30.50,30.44,30.38,10,10,10,13,4,16,0.02,7,Rain-Snow,15<br />
2015-1-10,51,41,30,28,21,17,70,49,27,30.53,30.45,30.39,10,10,10,15,7,18,0.00,1,,53<br />
2015-1-11,62,52,41,56,45,21,100,70,40,30.38,30.23,30.16,10,8,1,17,10,24,0.42,7,Rain,93<br />
2015-1-12,63,55,47,59,54,43,97,87,77,30.27,30.18,30.13,10,5,0,14,5,17,0.02,8,Fog-Rain,325<br />
2015-1-13,47,43,38,42,37,35,89,83,76,30.38,30.32,30.26,10,10,7,14,8,18,0.00,8,,7<br />
2015-1-14,41,39,36,36,35,33,92,86,79,30.35,30.29,30.23,10,10,5,12,6,17,T,8,Rain,24<br />
2015-1-15,45,40,34,38,37,32,92,81,70,30.30,30.23,30.19,10,8,5,10,3,14,0.12,6,Rain,353<br />
2015-1-16,58,45,31,36,32,29,100,68,36,30.37,30.28,30.23,10,10,6,10,2,14,0.00,0,,31<br />
2015-1-17,63,46,29,45,36,28,92,64,36,30.24,30.17,30.09,10,10,7,13,4,16,0.00,0,,201<br />
2015-1-18,70,54,38,46,36,24,93,56,18,30.30,30.22,30.16,10,9,4,14,3,19,0.00,0,,310<br />
2015-1-19,69,50,31,45,36,29,89,59,28,30.21,30.13,30.04,10,10,10,13,4,16,0.00,0,,187<br />
2015-1-20,73,56,39,50,46,37,96,69,41,30.05,30.01,29.95,10,10,5,9,2,14,0.00,3,,21<br />
2015-1-21,71,59,46,47,41,36,93,63,33,30.17,30.11,30.05,10,10,6,12,6,15,0.00,0,,32<br />
2015-1-22,58,51,44,45,40,32,93,67,40,30.17,30.07,29.94,10,6,2,26,12,33,2.19,6,Rain,46<br />
2015-1-23,45,42,38,43,40,34,92,87,82,30.14,30.02,29.94,10,9,2,17,9,24,0.04,8,Rain,331<br />
2015-1-24,59,46,33,38,34,29,96,66,35,30.23,30.13,30.07,10,10,8,15,7,19,0.00,1,,264<br />
2015-1-25,69,54,39,45,39,31,93,62,30,30.08,29.97,29.86,10,10,6,24,11,32,0.00,0,,245<br />
2015-1-26,63,54,45,36,33,30,65,48,30,30.18,30.10,30.04,10,10,10,16,8,25,0.00,0,,305<br />
2015-1-27,77,58,39,41,37,30,92,56,19,30.17,30.11,30.06,10,10,10,12,4,15,0.00,0,,314<br />
2015-1-28,71,56,41,41,37,30,82,54,26,30.29,30.22,30.17,10,10,10,13,6,16,0.00,0,,104<br />
2015-1-29,78,60,41,57,48,38,96,66,36,30.28,30.22,30.17,10,9,5,17,6,21,0.00,1,,244<br />
2015-1-30,63,51,38,45,34,27,85,56,27,30.43,30.35,30.28,10,10,10,16,6,23,0.00,0,,17<br />
2015-1-31,62,49,36,48,39,29,83,63,42,30.32,30.23,30.09,10,10,10,16,9,21,0.00,1,,86<br />
